	Shannon	Inverse_Simpson	OTU_richness	PD	Chao1	ACE	cultivar	date	treatment	Shannon	block
A1	6.433499448	0.99574513	1053	62.28848	2783.56962	3190.334027	Drought sensitive	May.10	25	6.433499448	1
A2	6.473767729	0.996224859	1074	65.74712	3021.796053	3342.577814	Drought tolerant	May.10	0	6.473767729	1
A3	6.470574697	0.996728813	1054	64.11458	2919.066225	3336.759217	Drought tolerant	May.10	75	6.470574697	1
A4	6.529050249	0.996720263	1088	66.68576	3113.4	3423.839985	Drought sensitive	May.10	0	6.529050249	1
A5	6.366503871	0.995994969	1007	61.42332	2787.006993	3238.19758	Drought sensitive	May.10	50	6.366503871	1
A6	6.439198143	0.996094715	1039	62.81963	2770.414474	3168.08645	Drought sensitive	May.10	75	6.439198143	1
A7	6.456663761	0.996109914	1051	61.03931	2599.674556	2906.735643	Drought tolerant	May.10	25	6.456663761	1
A8	6.426967403	0.996205385	1031	63.45587	2718.065359	3046.006146	Drought tolerant	May.10	50	6.426967403	1
A9	5.931479455	0.990399705	845	56.00322	1943.631944	2283.946187	Drought tolerant	May.10	0	5.931479455	2
A10	6.056673915	0.993306107	871	53.63551	2091.142857	2459.814619	Drought tolerant	May.10	75	6.056673915	2
A11	6.290334519	0.993994353	1000	62.8626	2420.140244	2662.806363	Drought sensitive	May.10	25	6.290334519	2
A12	6.393995751	0.995561312	1006	66.06209	2197.967213	2559.767995	Drought sensitive	May.10	50	6.393995751	2
A13	6.39221334	0.9952673	1038	65.82006	2517.595376	2892.860086	Drought tolerant	May.10	25	6.39221334	2
A14	6.237823575	0.993714115	951	60.50082	2110.698795	2335.672976	Drought tolerant	May.10	50	6.237823575	2
A15	6.397588116	0.995988794	999	62.42581	2193.21547	2568.545765	Drought sensitive	May.10	75	6.397588116	2
A16	6.195048714	0.993707941	952	59.37353	2262.175	2710.327301	Drought sensitive	May.10	0	6.195048714	2
A17	5.954441827	0.990608221	858	53.52637	1949.571429	2272.738411	Drought sensitive	May.10	75	5.954441827	3
A18	6.106582148	0.993438152	903	61.17706	2285.627737	2581.840133	Drought tolerant	May.10	0	6.106582148	3
A19	6.188071225	0.99277033	978	61.90666	2607.848276	2842.932263	Drought sensitive	May.10	50	6.188071225	3
A20	6.42418779	0.995798802	1034	69.8492	2472.894737	2783.608622	Drought tolerant	May.10	25	6.42418779	3
A21	5.928714651	0.990933108	808	52.80088	1569.360759	1827.475046	Drought sensitive	May.10	25	5.928714651	3
A22	6.432568575	0.995544213	1063	68.3868	2801.425926	3214.753507	Drought tolerant	May.10	50	6.432568575	3
A23	6.373708915	0.994928164	1029	65.94006	2539.384615	3063.240937	Drought sensitive	May.10	0	6.373708915	3
A24	6.196509668	0.993272384	962	60.62473	2304.75	2704.256403	Drought tolerant	May.10	75	6.196509668	3
A25	6.417424517	0.995808302	1033	65.30101	2840.506944	3017.854168	Drought tolerant	May.10	25	6.417424517	4
A26	6.417053091	0.995542788	1065	68.80698	2799.218182	3139.648648	Drought tolerant	May.10	50	6.417053091	4
A27	6.398311076	0.994881141	1060	68.82187	2648.482759	3092.677198	Drought sensitive	May.10	0	6.398311076	4
A28	6.254715526	0.994095999	979	61.15385	2457.848684	2639.287678	Drought sensitive	May.10	75	6.254715526	4
A29	6.287703225	0.994633676	983	62.35636	2415.974194	2576.190027	Drought tolerant	May.10	0	6.287703225	4
A30	6.310702733	0.994985637	992	63.26643	2268.834286	2694.048621	Drought sensitive	May.10	50	6.310702733	4
A31	6.292477874	0.994368638	1011	63.26263	2706.165563	3074.649457	Drought tolerant	May.10	75	6.292477874	4
A32	6.233959	0.993974879	981	61.85314	2708.571429	3020.988828	Drought sensitive	May.10	25	6.233959	4
A33	6.349119232	0.994319715	1042	68.92668	2894.566667	3245.895455	Drought sensitive	May.10	0	6.349119232	5
A34	6.235476598	0.993949705	963	60.5179	2221.554878	2465.773381	Drought tolerant	May.10	75	6.235476598	5
A35	6.384378248	0.995152355	1019	65.5876	2135.135678	2467.910508	Drought tolerant	May.10	0	6.384378248	5
A36	6.316676426	0.993446702	1027	67.71009	2583.432927	2962.183516	Drought tolerant	May.10	50	6.316676426	5
A37	5.834737695	0.99574484	433	35.85767	1414.178571	1556.278994	Drought sensitive	May.10	25	5.834737695	5
A38	6.163753534	0.992371822	929	59.67582	1964.265896	2260.28771	Drought tolerant	May.10	25	6.163753534	5
A39	6.231322243	0.993146039	961	59.21875	1947.5625	2262.776609	Drought sensitive	May.10	50	6.231322243	5
A40	6.321811982	0.993650943	1010	65.25909	2199.338624	2577.608095	Drought sensitive	May.10	75	6.321811982	5
A41	6.523899326	0.996156462	1108	67.18826	2846.531073	3312.034648	Drought sensitive	May.10	50	6.523899326	6
A42	6.453323295	0.996131763	1044	65.14835	2486.314286	2907.647045	Drought tolerant	May.10	75	6.453323295	6
A43	6.245515358	0.993031569	972	63.10742	2227.257485	2505.024029	Drought sensitive	May.10	25	6.245515358	6
A44	6.494361507	0.995926572	1086	71.18069	2791.535294	3208.023004	Drought sensitive	May.10	0	6.494361507	6
A45	6.54465264	0.996155987	1115	74.57188	2765.193548	3253.65076	Drought tolerant	May.10	50	6.54465264	6
A46	6.374497711	0.994720598	1018	68.67223	2289.718232	2716.337161	Drought tolerant	May.10	0	6.374497711	6
A47	6.51145538	0.996143163	1078	68.93795	2808.627329	3025.484093	Drought sensitive	May.10	75	6.51145538	6
A48	6.492989438	0.996401077	1063	67.92548	2640.45614	3084.91014	Drought tolerant	May.10	25	6.492989438	6
B1	6.502057143	0.996360229	1085	70.1603	2779.569767	3205.970541	Drought sensitive	May.24	25	6.502057143	1
B2	6.316513658	0.995047859	993	60.84396	2371.46988	2728.38481	Drought tolerant	May.24	0	6.316513658	1
