	pcoa1	pcoa2	cultivar	date	treatment	block
A1	-0.094933049	0.049459421	Drought sensitive	May.10	25	1
A2	-0.103484589	-0.003919103	Drought tolerant	May.10	0	1
A3	-0.127062823	-0.03836685	Drought tolerant	May.10	75	1
A4	-0.12051296	-0.052962094	Drought sensitive	May.10	0	1
A5	-0.100140426	-0.069396654	Drought sensitive	May.10	50	1
A6	-0.111869383	-0.074272875	Drought sensitive	May.10	75	1
A7	-0.102812373	-0.089961799	Drought tolerant	May.10	25	1
A8	-0.130654199	-0.084884396	Drought tolerant	May.10	50	1
A9	0.174874503	0.185471565	Drought tolerant	May.10	0	2
A10	0.107088403	0.243849323	Drought tolerant	May.10	75	2
A11	0.026851953	0.017872425	Drought sensitive	May.10	25	2
A12	-0.050191795	-0.008538212	Drought sensitive	May.10	50	2
A13	-0.037302425	-0.053391813	Drought tolerant	May.10	25	2
A14	-0.00644274	-0.062838954	Drought tolerant	May.10	50	2
A15	-0.096481799	-0.075472693	Drought sensitive	May.10	75	2
A16	0.027622352	0.03574668	Drought sensitive	May.10	0	2
A17	0.161050791	0.123498158	Drought sensitive	May.10	75	3
A18	0.104363238	0.173812637	Drought tolerant	May.10	0	3
A19	0.043064694	0.153484858	Drought sensitive	May.10	50	3
A20	-0.02063258	0.146754698	Drought tolerant	May.10	25	3
A21	0.182658168	0.043801792	Drought sensitive	May.10	25	3
A22	-0.065363174	-0.041734957	Drought tolerant	May.10	50	3
A23	-0.043044572	-0.059359061	Drought sensitive	May.10	0	3
A24	-0.054666787	-0.050933646	Drought tolerant	May.10	75	3
A25	-0.0590771	0.056001401	Drought tolerant	May.10	25	4
A26	-0.086708994	-0.003294731	Drought tolerant	May.10	50	4
A27	-0.042777172	0.082115481	Drought sensitive	May.10	0	4
A28	-0.022658185	0.167483435	Drought sensitive	May.10	75	4
A29	-0.024421091	0.149753951	Drought tolerant	May.10	0	4
A30	-0.052416472	0.12632146	Drought sensitive	May.10	50	4
A31	0.004411973	0.123480539	Drought tolerant	May.10	75	4
A32	0.027937027	0.143808213	Drought sensitive	May.10	25	4
A33	0.002789909	-0.077624395	Drought sensitive	May.10	0	5
A34	0.030703904	-0.090014548	Drought tolerant	May.10	75	5
A35	0.011486876	-0.079398537	Drought tolerant	May.10	0	5
A36	0.01090632	-0.102592815	Drought tolerant	May.10	50	5
A37	-0.052005143	-0.032133644	Drought sensitive	May.10	25	5
A38	0.049914017	-0.053138621	Drought tolerant	May.10	25	5
A39	0.048387233	-0.028709003	Drought sensitive	May.10	50	5
A40	0.007716919	-0.034354116	Drought sensitive	May.10	75	5
A41	-0.070472974	-0.097186355	Drought sensitive	May.10	50	6
A42	-0.054809861	-0.101406808	Drought tolerant	May.10	75	6
A43	0.034506431	-0.115179209	Drought sensitive	May.10	25	6
A44	-0.090286414	-0.099359153	Drought sensitive	May.10	0	6
A45	-0.061126597	-0.064571046	Drought tolerant	May.10	50	6
A46	-0.036628679	-0.044434954	Drought tolerant	May.10	0	6
A47	-0.081314307	-0.047629646	Drought sensitive	May.10	75	6
A48	-0.115033065	-0.053770999	Drought tolerant	May.10	25	6
B1	-0.153749094	-0.021403145	Drought sensitive	May.24	25	1
B2	-0.131288931	0.044005013	Drought tolerant	May.24	0	1
B3	-0.122178384	-0.045261296	Drought tolerant	May.24	75	1
B4	-0.118645098	-0.067006394	Drought sensitive	May.24	0	1
B5	-0.095854938	-0.051502993	Drought sensitive	May.24	50	1
B6	-0.107580138	-0.039150357	Drought sensitive	May.24	75	1
B7	-0.128734665	-0.068757849	Drought tolerant	May.24	25	1
B8	-0.099064628	-0.04833728	Drought tolerant	May.24	50	1
B9	-0.042263687	0.2210903	Drought tolerant	May.24	0	2
B10	-0.065436093	0.221844317	Drought tolerant	May.24	75	2
B11	-0.100622804	0.055140457	Drought sensitive	May.24	25	2
B12	-0.14240942	0.014158396	Drought sensitive	May.24	50	2
B13	-0.120087628	-0.03529879	Drought tolerant	May.24	25	2
B14	-0.146395201	-0.038635667	Drought tolerant	May.24	50	2
B15	-0.170763838	-0.074452805	Drought sensitive	May.24	75	2
B16	-0.121120779	-0.090762068	Drought sensitive	May.24	0	2
B17	-0.114422698	0.125030482	Drought sensitive	May.24	75	3
B18	-0.081450174	0.185449029	Drought tolerant	May.24	0	3
B19	-0.137855508	0.173115354	Drought sensitive	May.24	50	3
B20	-0.088249217	0.248255116	Drought tolerant	May.24	25	3
B21	-0.092767007	0.211595385	Drought sensitive	May.24	25	3
B22	-0.14694596	-0.002026366	Drought tolerant	May.24	50	3
B23	-0.152953085	-0.024757989	Drought sensitive	May.24	0	3
B24	-0.106386606	0.038165073	Drought tolerant	May.24	75	3
B25	-0.113691525	-0.067734756	Drought tolerant	May.24	25	4
B26	-0.123707823	-0.053181004	Drought tolerant	May.24	50	4
B27	-0.113318564	-0.007766243	Drought sensitive	May.24	0	4
B28	-0.129727164	-0.019095908	Drought sensitive	May.24	75	4
B29	-0.104805522	0.073879222	Drought tolerant	May.24	0	4
B30	-0.119455907	0.077597827	Drought sensitive	May.24	50	4
B31	-0.09274756	0.169314416	Drought tolerant	May.24	75	4
B32	-0.073925479	0.145850934	Drought sensitive	May.24	25	4
B33	-0.113838534	-0.112783215	Drought sensitive	May.24	0	5
B34	-0.124304008	-0.104888808	Drought tolerant	May.24	75	5
B35	-0.095284816	-0.124000061	Drought tolerant	May.24	0	5
B36	-0.10993676	-0.078976199	Drought tolerant	May.24	50	5
B37	-0.087900606	-0.094305298	Drought sensitive	May.24	25	5
B38	-0.085134376	-0.063109229	Drought tolerant	May.24	25	5
B39	-0.123364819	-0.039555149	Drought sensitive	May.24	50	5
B40	-0.090850859	-0.034903076	Drought sensitive	May.24	75	5
B41	-0.151308909	-0.112238729	Drought sensitive	May.24	50	6
B42	-0.141054542	-0.120765944	Drought tolerant	May.24	75	6
B43	-0.113918252	-0.112907819	Drought sensitive	May.24	25	6
B44	-0.073861059	-0.128365755	Drought sensitive	May.24	0	6
B45	-0.094909491	-0.09489532	Drought tolerant	May.24	50	6
B46	-0.083304467	-0.102083658	Drought tolerant	May.24	0	6
B47	-0.108273546	-0.054738719	Drought sensitive	May.24	75	6
B48	-0.128073065	-0.060095918	Drought tolerant	May.24	25	6
C1	-0.119229678	0.018901361	Drought sensitive	Jun.7	25	1
C2	-0.116952325	-0.001719936	Drought tolerant	Jun.7	0	1
C3	-0.125314063	-0.069942221	Drought tolerant	Jun.7	75	1
C4	-0.1146252	-0.045455109	Drought sensitive	Jun.7	0	1
C5	-0.115956556	-0.059204608	Drought sensitive	Jun.7	50	1
C6	-0.120176486	-0.092536505	Drought sensitive	Jun.7	75	1
C7	-0.107042309	-0.094904161	Drought tolerant	Jun.7	25	1
C8	-0.127317507	-0.091391178	Drought tolerant	Jun.7	50	1
C9	-0.057400441	0.169945417	Drought tolerant	Jun.7	0	2
C10	-0.05849144	0.250490053	Drought tolerant	Jun.7	75	2
C11	-0.119783823	0.020523042	Drought sensitive	Jun.7	25	2
C12	-0.129068845	-0.00141365	Drought sensitive	Jun.7	50	2
C13	-0.11535411	-0.031077301	Drought tolerant	Jun.7	25	2
C14	-0.135888611	-0.05774683	Drought tolerant	Jun.7	50	2
C15	-0.145950262	-0.094726117	Drought sensitive	Jun.7	75	2
C16	-0.168469996	-0.106350067	Drought sensitive	Jun.7	0	2
C17	-0.118874248	0.181579577	Drought sensitive	Jun.7	75	3
C18	-0.093325886	0.235883494	Drought tolerant	Jun.7	0	3
C19	-0.104716899	0.141023032	Drought sensitive	Jun.7	50	3
