	cultivar	date	treatment	block	Thaumarchaeota	Actinobacteria	Proteobacteria	Acidobacteria	Verrucomicrobia	Bacteroidetes	Planctomycetes	Firmicutes
A1	Drought sensitive	May.10	25	1	18.0887372	27.64505119	23.98829839	13.94441736	4.631886884	1.80399805	1.852754754	1.023890785
A2	Drought tolerant	May.10	0	1	17.9337232	29.33723197	23.73294347	13.01169591	2.485380117	2.046783626	2.631578947	1.364522417
A3	Drought tolerant	May.10	75	1	15.54580897	30.70175439	21.73489279	13.88888889	4.142300195	3.849902534	2.38791423	1.1208577
A4	Drought sensitive	May.10	0	1	16.27680312	28.65497076	22.07602339	14.81481481	3.021442495	2.53411306	3.606237817	0.925925926
A5	Drought sensitive	May.10	50	1	18.37231969	30.65302144	20.12670565	12.86549708	3.752436647	1.949317739	2.436647173	1.705653021
A6	Drought sensitive	May.10	75	1	17.83625731	31.96881092	20.27290448	14.42495127	3.118908382	1.608187135	2.729044834	1.315789474
A7	Drought tolerant	May.10	25	1	18.07992203	33.38206628	21.68615984	12.03703704	2.923976608	3.021442495	2.339181287	1.023391813
A8	Drought tolerant	May.10	50	1	15.74074074	34.74658869	21.00389864	12.6705653	2.972709552	2.144249513	2.144249513	1.949317739
A9	Drought tolerant	May.10	0	2	40.93567251	15.05847953	17.44639376	8.28460039	6.871345029	3.021442495	1.559454191	1.1208577
A10	Drought tolerant	May.10	75	2	33.91812865	18.03118908	18.66471735	10.91617934	6.530214425	3.50877193	1.705653021	1.1208577
A11	Drought sensitive	May.10	25	2	27.38791423	20.32163743	18.61598441	15.25341131	4.288499025	2.192982456	3.411306043	0.584795322
A12	Drought sensitive	May.10	50	2	21.6374269	22.417154	17.98245614	15.15594542	5.750487329	2.923976608	3.752436647	1.218323587
A13	Drought tolerant	May.10	25	2	22.22222222	26.02339181	21.24756335	11.50097466	4.093567251	2.923976608	3.167641326	1.023391813
A14	Drought tolerant	May.10	50	2	25.63352827	25.19493177	18.71345029	12.37816764	4.337231969	2.631578947	2.53411306	1.26705653
A15	Drought sensitive	May.10	75	2	18.32358674	31.7251462	20.37037037	11.64717349	3.118908382	2.095516569	3.118908382	1.510721248
A16	Drought sensitive	May.10	0	2	27.77777778	23.29434698	21.78362573	9.746588694	4.77582846	2.875243665	1.851851852	1.023391813
A17	Drought sensitive	May.10	75	3	39.08382066	16.47173489	18.81091618	9.941520468	5.165692008	2.777777778	2.046783626	0.536062378
A18	Drought tolerant	May.10	0	3	33.43079922	16.76413255	19.15204678	9.795321637	6.822612086	4.093567251	1.705653021	1.851851852
A19	Drought sensitive	May.10	50	3	28.65497076	19.73684211	18.71345029	13.84015595	5.945419103	2.192982456	2.826510721	0.730994152
A20	Drought tolerant	May.10	25	3	23.14814815	21.9785575	19.73684211	12.37816764	5.89668616	3.606237817	3.167641326	0.877192982
A21	Drought sensitive	May.10	25	3	41.17933723	17.10526316	15.59454191	11.11111111	4.191033138	2.777777778	2.339181287	0.438596491
A22	Drought tolerant	May.10	50	3	20.27290448	23.92787524	20.07797271	11.30604288	4.62962963	4.288499025	3.606237817	3.021442495
A23	Drought sensitive	May.10	0	3	22.61208577	26.51072125	22.12475634	12.03703704	3.849902534	1.900584795	3.801169591	0.584795322
A24	Drought tolerant	May.10	75	3	18.71345029	23.73294347	21.05263158	8.235867446	3.313840156	3.849902534	2.2417154	13.10916179
A25	Drought tolerant	May.10	25	4	20.12670565	20.12670565	23.73294347	14.13255361	5.116959064	4.824561404	2.631578947	0.877192982
A26	Drought tolerant	May.10	50	4	16.22807018	20.56530214	22.90448343	10.96491228	5.311890838	9.649122807	3.411306043	3.118908382
A27	Drought sensitive	May.10	0	4	21.24756335	20.56530214	23.44054581	13.15789474	5.019493177	3.947368421	3.021442495	1.803118908
A28	Drought sensitive	May.10	75	4	23.19688109	23.34307992	21.24756335	11.45224172	5.409356725	3.50877193	2.046783626	3.118908382
A29	Drought tolerant	May.10	0	4	22.85575049	23.63547758	20.32163743	10.38011696	5.799220273	4.77582846	2.095516569	2.046783626
A30	Drought sensitive	May.10	50	4	20.46783626	23.0994152	21.83235867	11.30604288	5.555555556	2.631578947	2.290448343	5.409356725
A31	Drought tolerant	May.10	75	4	24.41520468	21.24756335	19.34697856	13.40155945	5.506822612	3.703703704	1.949317739	2.095516569
A32	Drought sensitive	May.10	25	4	26.94931774	23.00194932	20.07797271	9.015594542	5.409356725	4.580896686	2.631578947	1.608187135
A33	Drought sensitive	May.10	0	5	25.87719298	22.61208577	19.93177388	10.0877193	3.557504873	2.436647173	3.606237817	4.337231969
A34	Drought tolerant	May.10	75	5	28.50877193	24.90253411	17.83625731	9.40545809	3.362573099	4.191033138	1.900584795	1.608187135
A35	Drought tolerant	May.10	0	5	25.48732943	23.05068226	19.44444444	9.892787524	4.337231969	3.801169591	3.411306043	1.705653021
A36	Drought tolerant	May.10	50	5	26.55945419	24.26900585	21.58869396	9.015594542	3.070175439	3.313840156	3.557504873	2.192982456
A37	Drought sensitive	May.10	25	5	15.13761468	29.81651376	23.24159021	12.5382263	5.810397554	1.681957187	2.599388379	2.599388379
A38	Drought tolerant	May.10	25	5	29.58089669	26.41325536	18.66471735	8.576998051	3.50877193	2.826510721	2.290448343	1.364522417
A39	Drought sensitive	May.10	50	5	29.09356725	22.22222222	19.88304094	11.45224172	3.752436647	3.118908382	1.851851852	1.023391813
