	abundance	phyla	date	treatment
1	18.0887372	Thaumarchaeota	May.10	25
2	17.9337232	Thaumarchaeota	May.10	0
3	15.54580897	Thaumarchaeota	May.10	75
4	16.27680312	Thaumarchaeota	May.10	0
5	18.37231969	Thaumarchaeota	May.10	50
6	17.83625731	Thaumarchaeota	May.10	75
7	18.07992203	Thaumarchaeota	May.10	25
8	15.74074074	Thaumarchaeota	May.10	50
9	40.93567251	Thaumarchaeota	May.10	0
10	33.91812865	Thaumarchaeota	May.10	75
11	27.38791423	Thaumarchaeota	May.10	25
12	21.6374269	Thaumarchaeota	May.10	50
13	22.22222222	Thaumarchaeota	May.10	25
14	25.63352827	Thaumarchaeota	May.10	50
15	18.32358674	Thaumarchaeota	May.10	75
16	27.77777778	Thaumarchaeota	May.10	0
17	39.08382066	Thaumarchaeota	May.10	75
18	33.43079922	Thaumarchaeota	May.10	0
19	28.65497076	Thaumarchaeota	May.10	50
20	23.14814815	Thaumarchaeota	May.10	25
21	41.17933723	Thaumarchaeota	May.10	25
22	20.27290448	Thaumarchaeota	May.10	50
23	22.61208577	Thaumarchaeota	May.10	0
24	18.71345029	Thaumarchaeota	May.10	75
25	20.12670565	Thaumarchaeota	May.10	25
26	16.22807018	Thaumarchaeota	May.10	50
27	21.24756335	Thaumarchaeota	May.10	0
28	23.19688109	Thaumarchaeota	May.10	75
29	22.85575049	Thaumarchaeota	May.10	0
30	20.46783626	Thaumarchaeota	May.10	50
31	24.41520468	Thaumarchaeota	May.10	75
32	26.94931774	Thaumarchaeota	May.10	25
33	25.87719298	Thaumarchaeota	May.10	0
34	28.50877193	Thaumarchaeota	May.10	75
35	25.48732943	Thaumarchaeota	May.10	0
36	26.55945419	Thaumarchaeota	May.10	50
37	15.13761468	Thaumarchaeota	May.10	25
38	29.58089669	Thaumarchaeota	May.10	25
39	29.09356725	Thaumarchaeota	May.10	50
40	25.29239766	Thaumarchaeota	May.10	75
41	20.71150097	Thaumarchaeota	May.10	50
42	22.17348928	Thaumarchaeota	May.10	75
43	28.55750487	Thaumarchaeota	May.10	25
44	16.62603608	Thaumarchaeota	May.10	0
45	19.88304094	Thaumarchaeota	May.10	50
46	22.85575049	Thaumarchaeota	May.10	0
47	19.00584795	Thaumarchaeota	May.10	75
48	16.52046784	Thaumarchaeota	May.10	25
49	13.15789474	Thaumarchaeota	May.24	25
50	13.98635478	Thaumarchaeota	May.24	0
51	17.00779727	Thaumarchaeota	May.24	75
52	16.71539961	Thaumarchaeota	May.24	0
53	7.504873294	Thaumarchaeota	May.24	50
54	17.9337232	Thaumarchaeota	May.24	75
55	17.05653021	Thaumarchaeota	May.24	25
56	19.59064327	Thaumarchaeota	May.24	50
57	21.78362573	Thaumarchaeota	May.24	0
58	19.49317739	Thaumarchaeota	May.24	75
59	18.42105263	Thaumarchaeota	May.24	25
60	15.6920078	Thaumarchaeota	May.24	50
61	16.42300195	Thaumarchaeota	May.24	25
62	13.93762183	Thaumarchaeota	May.24	50
63	11.06237817	Thaumarchaeota	May.24	75
64	17.49512671	Thaumarchaeota	May.24	0
65	16.13060429	Thaumarchaeota	May.24	75
66	18.66471735	Thaumarchaeota	May.24	0
67	11.89083821	Thaumarchaeota	May.24	50
68	16.32553606	Thaumarchaeota	May.24	25
69	17.34892788	Thaumarchaeota	May.24	25
70	13.25536062	Thaumarchaeota	May.24	50
71	13.69395712	Thaumarchaeota	May.24	0
72	17.39766082	Thaumarchaeota	May.24	75
73	17.98245614	Thaumarchaeota	May.24	25
74	16.48780488	Thaumarchaeota	May.24	50
75	17.20272904	Thaumarchaeota	May.24	0
76	14.66861598	Thaumarchaeota	May.24	75
77	17.9337232	Thaumarchaeota	May.24	0
78	16.22807018	Thaumarchaeota	May.24	50
79	15.39961014	Thaumarchaeota	May.24	75
80	18.07992203	Thaumarchaeota	May.24	25
81	18.2748538	Thaumarchaeota	May.24	0
82	16.08187135	Thaumarchaeota	May.24	75
83	18.71345029	Thaumarchaeota	May.24	0
84	17.00779727	Thaumarchaeota	May.24	50
85	19.55143832	Thaumarchaeota	May.24	25
86	18.76218324	Thaumarchaeota	May.24	25
87	16.52046784	Thaumarchaeota	May.24	50
88	19.20077973	Thaumarchaeota	May.24	75
89	14.13255361	Thaumarchaeota	May.24	50
90	15.05847953	Thaumarchaeota	May.24	75
91	18.22612086	Thaumarchaeota	May.24	25
92	19.63937622	Thaumarchaeota	May.24	0
93	19.24951267	Thaumarchaeota	May.24	50
94	20.1754386	Thaumarchaeota	May.24	0
95	14.03508772	Thaumarchaeota	May.24	75
96	14.32748538	Thaumarchaeota	May.24	25
97	16.42300195	Thaumarchaeota	Jun.7	25
98	17.05653021	Thaumarchaeota	Jun.7	0
99	16.95906433	Thaumarchaeota	Jun.7	75
100	18.46978558	Thaumarchaeota	Jun.7	0
101	17.39766082	Thaumarchaeota	Jun.7	50
102	17.39766082	Thaumarchaeota	Jun.7	75
103	18.81091618	Thaumarchaeota	Jun.7	25
104	16.68292683	Thaumarchaeota	Jun.7	50
105	20.22417154	Thaumarchaeota	Jun.7	0
106	19.24951267	Thaumarchaeota	Jun.7	75
107	16.56920078	Thaumarchaeota	Jun.7	25
108	16.27680312	Thaumarchaeota	Jun.7	50
109	18.32358674	Thaumarchaeota	Jun.7	25
110	16.32553606	Thaumarchaeota	Jun.7	50
111	14.96101365	Thaumarchaeota	Jun.7	75
112	13.30409357	Thaumarchaeota	Jun.7	0
113	14.66861598	Thaumarchaeota	Jun.7	75
114	15.89468552	Thaumarchaeota	Jun.7	0
115	16.13060429	Thaumarchaeota	Jun.7	50
116	15.10721248	Thaumarchaeota	Jun.7	25
117	12.81676413	Thaumarchaeota	Jun.7	25
118	12.62183236	Thaumarchaeota	Jun.7	50
119	11.45224172	Thaumarchaeota	Jun.7	0
120	9.69785575	Thaumarchaeota	Jun.7	75
121	13.25536062	Thaumarchaeota	Jun.7	25
122	13.74269006	Thaumarchaeota	Jun.7	50
123	15.74074074	Thaumarchaeota	Jun.7	0
124	15.59454191	Thaumarchaeota	Jun.7	75
125	15.30960507	Thaumarchaeota	Jun.7	0
126	12.71929825	Thaumarchaeota	Jun.7	50
127	17.83625731	Thaumarchaeota	Jun.7	75
128	13.30409357	Thaumarchaeota	Jun.7	25
129	14.9122807	Thaumarchaeota	Jun.7	0
130	13.06679668	Thaumarchaeota	Jun.7	75
131	17.73879142	Thaumarchaeota	Jun.7	0
132	16.61793372	Thaumarchaeota	Jun.7	50
133	16.27680312	Thaumarchaeota	Jun.7	25
134	13.10916179	Thaumarchaeota	Jun.7	25
135	13.98635478	Thaumarchaeota	Jun.7	50
136	16.22807018	Thaumarchaeota	Jun.7	75
137	12.62183236	Thaumarchaeota	Jun.7	50
138	15.30214425	Thaumarchaeota	Jun.7	75
139	15.64327485	Thaumarchaeota	Jun.7	25
140	14.18128655	Thaumarchaeota	Jun.7	0
141	14.32748538	Thaumarchaeota	Jun.7	50
142	14.66861598	Thaumarchaeota	Jun.7	0
143	14.37621832	Thaumarchaeota	Jun.7	75
144	12.14041931	Thaumarchaeota	Jun.7	25
145	16.66666667	Thaumarchaeota	Jun.21	25
146	15.60214529	Thaumarchaeota	Jun.21	0
147	16.13060429	Thaumarchaeota	Jun.21	75
148	15.35087719	Thaumarchaeota	Jun.21	0
149	16.08187135	Thaumarchaeota	Jun.21	50
150	13.791423	Thaumarchaeota	Jun.21	75
151	15.78947368	Thaumarchaeota	Jun.21	25
152	14.5711501	Thaumarchaeota	Jun.21	50
153	15.39961014	Thaumarchaeota	Jun.21	0
154	16.95906433	Thaumarchaeota	Jun.21	75
155	17.49512671	Thaumarchaeota	Jun.21	25
156	15.15594542	Thaumarchaeota	Jun.21	50
157	14.61988304	Thaumarchaeota	Jun.21	25
158	14.86354776	Thaumarchaeota	Jun.21	50
159	14.27875244	Thaumarchaeota	Jun.21	75
160	13.791423	Thaumarchaeota	Jun.21	0
161	15.44834308	Thaumarchaeota	Jun.21	75
162	19.83430799	Thaumarchaeota	Jun.21	0
163	18.51851852	Thaumarchaeota	Jun.21	50
164	18.07992203	Thaumarchaeota	Jun.21	25
165	16.08187135	Thaumarchaeota	Jun.21	25
166	15.88693957	Thaumarchaeota	Jun.21	50
167	16.86159844	Thaumarchaeota	Jun.21	0
168	14.37621832	Thaumarchaeota	Jun.21	75
169	12.3294347	Thaumarchaeota	Jun.21	25
170	16.08187135	Thaumarchaeota	Jun.21	50
171	15.74074074	Thaumarchaeota	Jun.21	0
172	15.25341131	Thaumarchaeota	Jun.21	75
173	15.88693957	Thaumarchaeota	Jun.21	0
174	15.6920078	Thaumarchaeota	Jun.21	50
175	13.20662768	Thaumarchaeota	Jun.21	75
176	12.72549976	Thaumarchaeota	Jun.21	25
177	13.41463415	Thaumarchaeota	Jun.21	0
178	13.45685032	Thaumarchaeota	Jun.21	75
179	12.52436647	Thaumarchaeota	Jun.21	0
180	13.10916179	Thaumarchaeota	Jun.21	50
181	15.20467836	Thaumarchaeota	Jun.21	25
182	12.23196881	Thaumarchaeota	Jun.21	25
183	13.35282651	Thaumarchaeota	Jun.21	50
184	13.70063384	Thaumarchaeota	Jun.21	75
185	12.71929825	Thaumarchaeota	Jun.21	50
186	9.941520468	Thaumarchaeota	Jun.21	75
187	13.84015595	Thaumarchaeota	Jun.21	25
188	13.20662768	Thaumarchaeota	Jun.21	0
189	12.62183236	Thaumarchaeota	Jun.21	50
190	13.25536062	Thaumarchaeota	Jun.21	0
191	13.15789474	Thaumarchaeota	Jun.21	75
192	11.79337232	Thaumarchaeota	Jun.21	25
193	12.76803119	Thaumarchaeota	Jul.5	25
194	16.27680312	Thaumarchaeota	Jul.5	0
195	17.10526316	Thaumarchaeota	Jul.5	75
196	16.52046784	Thaumarchaeota	Jul.5	0
197	14.24390244	Thaumarchaeota	Jul.5	50
198	17.05653021	Thaumarchaeota	Jul.5	75
199	12.47563353	Thaumarchaeota	Jul.5	25
200	11.5497076	Thaumarchaeota	Jul.5	50
201	16.91033138	Thaumarchaeota	Jul.5	0
202	14.42495127	Thaumarchaeota	Jul.5	75
203	11.30604288	Thaumarchaeota	Jul.5	25
204	11.9941492	Thaumarchaeota	Jul.5	50
205	12.57309942	Thaumarchaeota	Jul.5	25
206	12.91423002	Thaumarchaeota	Jul.5	50
207	12.96928328	Thaumarchaeota	Jul.5	75
208	13.25536062	Thaumarchaeota	Jul.5	0
209	21.78362573	Thaumarchaeota	Jul.5	75
210	21.39376218	Thaumarchaeota	Jul.5	0
211	20.27290448	Thaumarchaeota	Jul.5	50
212	22.80701754	Thaumarchaeota	Jul.5	25
213	23.8791423	Thaumarchaeota	Jul.5	25
214	18.46978558	Thaumarchaeota	Jul.5	50
215	15.83820663	Thaumarchaeota	Jul.5	0
216	15.39961014	Thaumarchaeota	Jul.5	75
217	20.27290448	Thaumarchaeota	Jul.5	25
218	19.44444444	Thaumarchaeota	Jul.5	50
219	20.85769981	Thaumarchaeota	Jul.5	0
220	19.93177388	Thaumarchaeota	Jul.5	75
221	20.80896686	Thaumarchaeota	Jul.5	0
222	18.37231969	Thaumarchaeota	Jul.5	50
223	20.72159922	Thaumarchaeota	Jul.5	75
224	21.39376218	Thaumarchaeota	Jul.5	25
225	22.80701754	Thaumarchaeota	Jul.5	0
226	22.12475634	Thaumarchaeota	Jul.5	75
227	18.12865497	Thaumarchaeota	Jul.5	0
228	22.85575049	Thaumarchaeota	Jul.5	50
229	11.35477583	Thaumarchaeota	Jul.5	25
230	19.00584795	Thaumarchaeota	Jul.5	25
231	19.93177388	Thaumarchaeota	Jul.5	50
232	18.03118908	Thaumarchaeota	Jul.5	75
233	20.22417154	Thaumarchaeota	Jul.5	50
234	21.00389864	Thaumarchaeota	Jul.5	75
235	24.31773879	Thaumarchaeota	Jul.5	25
236	24.2202729	Thaumarchaeota	Jul.5	0
237	20.5165692	Thaumarchaeota	Jul.5	50
238	20.32163743	Thaumarchaeota	Jul.5	0
239	21.10136452	Thaumarchaeota	Jul.5	75
240	20.12670565	Thaumarchaeota	Jul.5	25
241	21.05263158	Thaumarchaeota	Jul.19	25
242	21.55046319	Thaumarchaeota	Jul.19	0
243	22.46588694	Thaumarchaeota	Jul.19	75
244	22.17348928	Thaumarchaeota	Jul.19	0
245	19.00584795	Thaumarchaeota	Jul.19	50
246	21.00389864	Thaumarchaeota	Jul.19	75
247	17.59259259	Thaumarchaeota	Jul.19	25
248	18.95711501	Thaumarchaeota	Jul.19	50
249	21.9785575	Thaumarchaeota	Jul.19	0
250	60.72124756	Thaumarchaeota	Jul.19	75
251	49.46393762	Thaumarchaeota	Jul.19	25
252	53.26510721	Thaumarchaeota	Jul.19	50
253	53.3625731	Thaumarchaeota	Jul.19	25
254	45.56530214	Thaumarchaeota	Jul.19	50
255	38.25536062	Thaumarchaeota	Jul.19	75
256	50.53606238	Thaumarchaeota	Jul.19	0
257	18.90838207	Thaumarchaeota	Jul.19	75
258	70.07797271	Thaumarchaeota	Jul.19	0
259	78.07017544	Thaumarchaeota	Jul.19	50
260	53.0214425	Thaumarchaeota	Jul.19	25
261	68.12865497	Thaumarchaeota	Jul.19	25
262	50	Thaumarchaeota	Jul.19	50
263	53.0214425	Thaumarchaeota	Jul.19	0
264	17.73879142	Thaumarchaeota	Jul.19	75
265	NA	Thaumarchaeota	Jul.19	25
266	69.34697856	Thaumarchaeota	Jul.19	50
267	76.94931774	Thaumarchaeota	Jul.19	0
268	71.73489279	Thaumarchaeota	Jul.19	75
269	66.91033138	Thaumarchaeota	Jul.19	0
270	57.11500975	Thaumarchaeota	Jul.19	50
271	65.25341131	Thaumarchaeota	Jul.19	75
272	21.44249513	Thaumarchaeota	Jul.19	25
273	NA	Thaumarchaeota	Jul.19	0
274	81.38401559	Thaumarchaeota	Jul.19	75
275	74.31773879	Thaumarchaeota	Jul.19	0
276	69.73684211	Thaumarchaeota	Jul.19	50
277	64.5711501	Thaumarchaeota	Jul.19	25
278	69.3957115	Thaumarchaeota	Jul.19	25
279	66.2603608	Thaumarchaeota	Jul.19	50
280	73.5380117	Thaumarchaeota	Jul.19	75
281	NA	Thaumarchaeota	Jul.19	50
282	65.59454191	Thaumarchaeota	Jul.19	75
283	65.15594542	Thaumarchaeota	Jul.19	25
284	70.02923977	Thaumarchaeota	Jul.19	0
285	67.20272904	Thaumarchaeota	Jul.19	50
286	53.94736842	Thaumarchaeota	Jul.19	0
287	62.91423002	Thaumarchaeota	Jul.19	75
288	52.63157895	Thaumarchaeota	Jul.19	25
289	NA	Thaumarchaeota	Aug.1	25
290	77.37688932	Thaumarchaeota	Aug.1	0
291	75.68226121	Thaumarchaeota	Aug.1	75
292	74.31773879	Thaumarchaeota	Aug.1	0
293	77.09551657	Thaumarchaeota	Aug.1	50
294	68.42105263	Thaumarchaeota	Aug.1	75
295	61.25730994	Thaumarchaeota	Aug.1	25
296	38.98635478	Thaumarchaeota	Aug.1	50
297	23.5380117	Thaumarchaeota	Aug.1	0
298	69.44444444	Thaumarchaeota	Aug.1	75
299	75.14619883	Thaumarchaeota	Aug.1	25
300	71.62359824	Thaumarchaeota	Aug.1	50
301	73.0994152	Thaumarchaeota	Aug.1	25
302	70.95516569	Thaumarchaeota	Aug.1	50
303	68.76218324	Thaumarchaeota	Aug.1	75
304	22.22222222	Thaumarchaeota	Aug.1	0
305	26.36452242	Thaumarchaeota	Aug.1	75
306	55.89668616	Thaumarchaeota	Aug.1	0
307	74.02534113	Thaumarchaeota	Aug.1	50
308	75.53606238	Thaumarchaeota	Aug.1	25
309	79.77582846	Thaumarchaeota	Aug.1	25
310	60.62378168	Thaumarchaeota	Aug.1	50
311	65.05847953	Thaumarchaeota	Aug.1	0
