	Shannon	Inverse_Simpson	OTU_richness	Chao1	ACE	PD	cultivar	date	treatment	Shannon	block								
A1	3.822993473	0.943286661	239	340.0192308	373.6124894	20.77511	Drought sensitive	May.10	25	6.433499448	1								
A2	3.920356236	0.947875949	261	382.1052632	432.7868606	20.64227	Drought tolerant	May.10	0	6.473767729	1								
A3	3.015608358	0.849829406	202	408.3571429	382.383604	18.27504	Drought tolerant	May.10	75	6.470574697	1								
A4	3.460703411	0.916320707	212	363.6666667	393.4356581	18.41863	Drought sensitive	May.10	0	6.529050249	1								
A5	3.724093373	0.933310199	237	405.0769231	401.5874883	21.93595	Drought sensitive	May.10	50	6.366503871	1								
A6	3.755922405	0.926151084	234	358.5581395	375.7872414	19.78251	Drought sensitive	May.10	75	6.439198143	1								
A7	3.66478077	0.932136669	226	350.5581395	391.9024475	19.30122	Drought tolerant	May.10	25	6.456663761	1								
A8	3.77351655	0.934907423	262	471	486.8229965	19.78201	Drought tolerant	May.10	50	6.426967403	1								
A9	3.881114944	0.945923949	252	458.4	481.6627151	19.45806	Drought tolerant	May.10	0	5.931479455	2								
A10	3.766495335	0.935863525	251	376.8490566	437.999782	20.81637	Drought tolerant	May.10	75	6.056673915	2								
A11	3.724157432	0.924897474	253	396.2857143	440.3524623	17.29397	Drought sensitive	May.10	25	6.290334519	2								
A12	2.573886515	0.738841515	175	325.6153846	320.7123844	14.86479	Drought sensitive	May.10	50	6.393995751	2								
A13	3.561570472	0.924909607	213	373.5882353	396.2305331	20.89967	Drought tolerant	May.10	25	6.39221334	2								
A14	3.24274217	0.895892645	211	366.4	432.8824477	17.86242	Drought tolerant	May.10	50	6.237823575	2								
A15	3.664351788	0.938574098	234	458.2941176	448.2049314	19.73545	Drought sensitive	May.10	75	6.397588116	2								
A16	3.554730385	0.925398821	235	373.1333333	400.1294551	18.94326	Drought sensitive	May.10	0	6.195048714	2								
A17	3.717642929	0.925475503	254	369	425.6022412	17.06411	Drought sensitive	May.10	75	5.954441827	3								
A18	3.806693633	0.942887719	263	410.4285714	464.2553466	21.59912	Drought tolerant	May.10	0	6.106582148	3								
A19	3.787462616	0.931863428	262	457	478.8822279	20.98296	Drought sensitive	May.10	50	6.188071225	3								
A20	3.528741832	0.912052222	224	314.3684211	366.037625	18.05621	Drought tolerant	May.10	25	6.42418779	3								
A21	3.409487815	0.88679803	232	460.6	472.1786729	17.94696	Drought sensitive	May.10	25	5.928714651	3								
A22	3.696012465	0.919636002	239	379.1428571	378.1683787	21.62897	Drought tolerant	May.10	50	6.432568575	3								
A23	3.690472215	0.929073261	239	365.56	391.6163593	20.65702	Drought sensitive	May.10	0	6.373708915	3								
A24	3.291904094	0.894861317	193	335.5	351.3255255	13.86143	Drought tolerant	May.10	75	6.196509668	3								
A25	3.884379702	0.936849717	277	567.1578947	571.7198445	21.3901	Drought tolerant	May.10	25	6.417424517	4								
A26	1.61511955	0.728888889	7	9	15.49586777	1.88753	Drought tolerant	May.10	50	6.417053091	4								
A27	3.558326942	0.901851537	230	405.5263158	424.7752616	16.96604	Drought sensitive	May.10	0	6.398311076	4								
A28	2.659018481	0.787678905	170	309.5333333	368.5272803	15.95446	Drought sensitive	May.10	75	6.254715526	4								
A29	3.415554279	0.894210251	162	298.7142857	338.9205911	13.99511	Drought tolerant	May.10	0	6.287703225	4								
A30	3.430523444	0.899481667	221	399.3636364	381.4559409	18.57979	Drought sensitive	May.10	50	6.310702733	4								
A31	3.595256135	0.91693368	239	439.025	461.3881507	19.64736	Drought tolerant	May.10	75	6.292477874	4								
A32	3.44409926	0.895969812	215	369.5833333	399.0572092	15.79813	Drought sensitive	May.10	25	6.233959	4								
A33	3.739701267	0.928929603	244	406.2727273	440.2739869	18.05889	Drought sensitive	May.10	0	6.349119232	5								
A34	3.020960841	0.831964862	185	304	292.5959896	16.92537	Drought tolerant	May.10	75	6.235476598	5								
A35	3.63577603	0.92016938	236	422	471.4656031	17.86461	Drought tolerant	May.10	0	6.384378248	5								
A36	3.679669918	0.923722002	238	345.2040816	380.7925744	17.98088	Drought tolerant	May.10	50	6.316676426	5								
A37	3.522984819	0.913751365	216	350.1176471	333.318336	19.25218	Drought sensitive	May.10	25	5.834737695	5								
A38	3.569728337	0.917475309	214	317.4666667	363.5455807	17.93131	Drought tolerant	May.10	25	6.163753534	5								
A39	3.011799402	0.824464073	211	368.5294118	367.0764196	17.36816	Drought sensitive	May.10	50	6.231322243	5								
A40	3.081326751	0.809672159	195	354.4642857	357.3318108	15.39013	Drought sensitive	May.10	75	6.321811982	5								
A41	2.067044149	0.574194472	166	293.5	292.4208872	16.77545	Drought sensitive	May.10	50	6.523899326	6								
A42	2.816315263	0.79504186	163	359.8947368	319.096139	13.55623	Drought tolerant	May.10	75	6.453323295	6								
A43	3.664996014	0.920732364	231	359.4	398.7587675	20.29394	Drought sensitive	May.10	25	6.245515358	6								
A44	3.056292309	0.831496032	197	318.4166667	346.9856325	17.19814	Drought sensitive	May.10	0	6.494361507	6								
A45	3.141083501	0.831891577	188	265.0833333	276.0837329	16.06835	Drought tolerant	May.10	50	6.54465264	6								
A46	3.291722655	0.9097105	181	239.4	268.995822	16.05233	Drought tolerant	May.10	0	6.374497711	6								
A47	3.385218232	0.92105608	188	326	343.2871886	17.52361	Drought sensitive	May.10	75	6.51145538	6								
A48	3.586308093	0.921061904	227	350.2826087	397.6123088	17.35454	Drought tolerant	May.10	25	6.492989438	6								
B1	3.958340849	0.940663447	260	415.6326531	467.683882	18.76164	Drought sensitive	May.24	25	6.502057143	1								
B2	3.630702656	0.928276347	220	321.4772727	350.772943	20.09021	Drought tolerant	May.24	0	6.316513658	1								
B3	3.660730531	0.929254774	224	354	385.4915415	17.89539	Drought tolerant	May.24	75	6.24139122	1								
B4	3.133000922	0.85890655	183	302.625	333.245348	16.62044	Drought sensitive	May.24	0	6.269299199	1								
B5	3.531028762	0.92244267	193	262.375	280.2266421	15.7509	Drought sensitive	May.24	50	NA	1								
B6	3.286994483	0.91583489	183	318.0322581	351.1952099	15.57062	Drought sensitive	May.24	75	6.323834507	1								
B7	3.572317744	0.925037734	225	359.372093	403.4309212	17.6622	Drought tolerant	May.24	25	6.330224882	1								
B8	3.347483	0.898183892	198	294.1842105	318.7675767	18.09795	Drought tolerant	May.24	50	6.267828403	1								
B9	3.457975556	0.923348298	220	398.9166667	429.4128085	16.06708	Drought tolerant	May.24	0	6.17891196	2								
B10	3.466203266	0.915621345	222	405.9375	375.9000275	17.666	Drought tolerant	May.24	75	6.297482683	2								
B11	3.696541597	0.924856706	240	399.3846154	405.1771397	18.58494	Drought sensitive	May.24	25	6.292990101	2								
B12	3.077778359	0.808985416	195	320.15625	339.0088907	15.08173	Drought sensitive	May.24	50	6.316915339	2								
B13	3.35440888	0.879295785	202	270.6956522	296.6870579	15.40677	Drought tolerant	May.24	25	6.431275619	2								
B14	3.253879414	0.882277658	213	447.0333333	446.2107839	16.68379	Drought tolerant	May.24	50	6.526393575	2								
B15	3.588144221	0.926084593	226	331.3191489	377.7824853	15.90429	Drought sensitive	May.24	75	6.59147351	2								
B16	3.389993973	0.911997865	210	317.8	353.0180139	17.205	Drought sensitive	May.24	0	6.336177511	2								
B17	3.412102517	0.906710185	226	374.9772727	405.8767572	16.2854	Drought sensitive	May.24	75	6.484112198	3								
B18	3.253033811	0.886695139	192	437.0526316	343.5932683	15.04912	Drought tolerant	May.24	0	6.302222001	3								
B19	2.7423727	0.785848722	175	331.1071429	363.3821269	13.37871	Drought sensitive	May.24	50	6.313661378	3								
B20	3.269607925	0.901481715	198	389.2857143	390.6664975	15.99657	Drought tolerant	May.24	25	6.282344302	3								
B21	3.090075779	0.855709675	189	270.1363636	319.0555506	14.24395	Drought sensitive	May.24	25	6.326754707	3								
B22	3.410797554	0.881153631	215	390.0909091	400.9349131	16.52812	Drought tolerant	May.24	50	6.228365413	3								
B23	3.11400653	0.817893664	205	325.6756757	352.8806647	18.28824	Drought sensitive	May.24	0	6.379929676	3								
