	pcoa1	pcoa2	cultivar	date	treatment	block
A1	-0.216197239	-0.03379477	Drought sensitive	May.10	25	1
A2	-0.210901807	0.068900769	Drought tolerant	May.10	0	1
A3	-0.236851907	-0.03140665	Drought tolerant	May.10	75	1
A4	-0.268292705	0.073911551	Drought sensitive	May.10	0	1
A5	-0.087051983	0.132036705	Drought sensitive	May.10	50	1
A6	-0.295415615	0.045629815	Drought sensitive	May.10	75	1
A7	-0.208348378	0.107778534	Drought tolerant	May.10	25	1
A8	-0.056062882	-0.025898377	Drought tolerant	May.10	50	1
A9	-0.076374515	-0.091897641	Drought tolerant	May.10	0	2
A10	-0.057718795	-0.116406381	Drought tolerant	May.10	75	2
A11	0.033570961	0.037999959	Drought sensitive	May.10	25	2
A12	-0.132161645	-0.150372103	Drought sensitive	May.10	50	2
A13	-0.228895265	-0.035946937	Drought tolerant	May.10	25	2
A14	-0.167620192	0.09242732	Drought tolerant	May.10	50	2
A15	-0.14542643	0.097561481	Drought sensitive	May.10	75	2
A16	-0.086477268	-0.02945007	Drought sensitive	May.10	0	2
A17	0.040758374	-0.087343275	Drought sensitive	May.10	75	3
A18	-0.065880229	-0.139988398	Drought tolerant	May.10	0	3
A19	0.009953126	-0.04846874	Drought sensitive	May.10	50	3
A20	0.089252551	-0.026880113	Drought tolerant	May.10	25	3
A21	0.163100184	-0.043213294	Drought sensitive	May.10	25	3
A22	0.050569837	0.040514056	Drought tolerant	May.10	50	3
A23	-0.000252046	0.073427683	Drought sensitive	May.10	0	3
A24	0.104358991	-0.034572343	Drought tolerant	May.10	75	3
A25	-0.020788957	-0.018773517	Drought tolerant	May.10	25	4
A26	NA	NA	Drought tolerant	May.10	50	4
A27	0.139106428	-0.03085438	Drought sensitive	May.10	0	4
A28	-0.070864819	-0.146713022	Drought sensitive	May.10	75	4
A29	0.034284591	-0.114543896	Drought tolerant	May.10	0	4
A30	0.085389309	-0.009829557	Drought sensitive	May.10	50	4
A31	0.045999432	-0.022386312	Drought tolerant	May.10	75	4
A32	0.160945576	-0.124120888	Drought sensitive	May.10	25	4
A33	-0.195334912	0.110751979	Drought sensitive	May.10	0	5
A34	-0.259257143	-0.09829607	Drought tolerant	May.10	75	5
A35	-0.020758868	0.048708047	Drought tolerant	May.10	0	5
A36	-0.057790018	0.100247975	Drought tolerant	May.10	50	5
A37	-0.074377452	0.097537072	Drought sensitive	May.10	25	5
A38	-0.029399374	0.04949388	Drought tolerant	May.10	25	5
A39	-0.046211151	0.011878438	Drought sensitive	May.10	50	5
A40	0.201853927	-0.00521395	Drought sensitive	May.10	75	5
A41	-0.247901843	-0.108307761	Drought sensitive	May.10	50	6
A42	-0.24492766	-0.092159537	Drought tolerant	May.10	75	6
A43	0.020024987	0.1077508	Drought sensitive	May.10	25	6
A44	0.15741079	0.028273005	Drought sensitive	May.10	0	6
A45	0.178700781	0.043307451	Drought tolerant	May.10	50	6
A46	-0.160710941	0.09505075	Drought tolerant	May.10	0	6
A47	-0.087315291	0.076281104	Drought sensitive	May.10	75	6
A48	-0.098746808	0.089860242	Drought tolerant	May.10	25	6
B1	-0.035402849	0.029376992	Drought sensitive	May.24	25	1
B2	-0.006730862	-0.02610391	Drought tolerant	May.24	0	1
B3	-0.068957851	0.102693339	Drought tolerant	May.24	75	1
B4	0.145992122	0.048186607	Drought sensitive	May.24	0	1
B5	-0.025300504	0.115794782	Drought sensitive	May.24	50	1
B6	-0.113777907	0.127804986	Drought sensitive	May.24	75	1
B7	-0.0940102	0.141860643	Drought tolerant	May.24	25	1
B8	0.004205829	0.123382322	Drought tolerant	May.24	50	1
B9	-0.159245912	-0.092005308	Drought tolerant	May.24	0	2
B10	-0.025410521	-0.075382946	Drought tolerant	May.24	75	2
B11	0.03144905	0.058042939	Drought sensitive	May.24	25	2
B12	0.243327651	-0.031150137	Drought sensitive	May.24	50	2
B13	0.118159357	0.066009068	Drought tolerant	May.24	25	2
B14	0.106826304	0.092938655	Drought tolerant	May.24	50	2
B15	-0.109410484	0.112796529	Drought sensitive	May.24	75	2
B16	-0.06333266	0.09944647	Drought sensitive	May.24	0	2
B17	0.058375349	-0.113774531	Drought sensitive	May.24	75	3
B18	0.149270271	-0.137324898	Drought tolerant	May.24	0	3
B19	-0.104808906	-0.220867307	Drought sensitive	May.24	50	3
B20	0.005399078	-0.07583064	Drought tolerant	May.24	25	3
B21	0.182706464	-0.048136436	Drought sensitive	May.24	25	3
B22	0.164042244	-0.015534071	Drought tolerant	May.24	50	3
B23	0.183009977	0.012526808	Drought sensitive	May.24	0	3
B24	0.076484948	-0.000588045	Drought tolerant	May.24	75	3
B25	0.074894646	0.018352358	Drought tolerant	May.24	25	4
B26	-0.001737693	-0.103441426	Drought tolerant	May.24	50	4
B27	-0.109376894	-0.1583155	Drought sensitive	May.24	0	4
B28	-0.066884388	0.01929002	Drought sensitive	May.24	75	4
B29	0.206067766	-0.010604157	Drought tolerant	May.24	0	4
B30	0.155328634	-0.025863187	Drought sensitive	May.24	50	4
B31	0.168860545	-0.117352142	Drought tolerant	May.24	75	4
B32	0.109743079	-0.145354201	Drought sensitive	May.24	25	4
B33	-0.191015557	0.024749051	Drought sensitive	May.24	0	5
B34	-0.091946476	0.082128749	Drought tolerant	May.24	75	5
B35	0.013089101	0.041181289	Drought tolerant	May.24	0	5
B36	-0.07555688	0.004856876	Drought tolerant	May.24	50	5
B37	0.071199483	0.095770052	Drought sensitive	May.24	25	5
B38	NA	NA	Drought tolerant	May.24	25	5
B39	0.102998319	0.018215058	Drought sensitive	May.24	50	5
B40	0.074931995	0.004023974	Drought sensitive	May.24	75	5
B41	-0.15328593	0.120812263	Drought sensitive	May.24	50	6
B42	0.093935093	0.094467608	Drought tolerant	May.24	75	6
B43	-0.106132545	0.142446294	Drought sensitive	May.24	25	6
B44	0.082603647	0.034789546	Drought sensitive	May.24	0	6
B45	-0.133038647	-0.128137107	Drought tolerant	May.24	50	6
