	abundance	phyla	date	treatment
1	31.24073159	Mortierellomycota	May.10	25
2	35.7495069	Mortierellomycota	May.10	0
3	24.35897436	Mortierellomycota	May.10	75
4	32.14990138	Mortierellomycota	May.10	0
5	52.81620553	Mortierellomycota	May.10	50
6	27.67232767	Mortierellomycota	May.10	75
7	47.8046374	Mortierellomycota	May.10	25
8	55.44554455	Mortierellomycota	May.10	50
9	57.40375123	Mortierellomycota	May.10	0
10	59.04150198	Mortierellomycota	May.10	75
11	61.71682289	Mortierellomycota	May.10	25
12	28.28232971	Mortierellomycota	May.10	50
13	41.94664032	Mortierellomycota	May.10	25
14	48.24691358	Mortierellomycota	May.10	50
15	45.10869565	Mortierellomycota	May.10	75
16	57.55928854	Mortierellomycota	May.10	0
17	70.27295285	Mortierellomycota	May.10	75
18	57.46673238	Mortierellomycota	May.10	0
19	59.66303271	Mortierellomycota	May.10	50
20	59.73320158	Mortierellomycota	May.10	25
21	67.4556213	Mortierellomycota	May.10	25
22	62.06216083	Mortierellomycota	May.10	50
23	55.27613412	Mortierellomycota	May.10	0
24	78.12807882	Mortierellomycota	May.10	75
25	52.75434243	Mortierellomycota	May.10	25
26	NA	Mortierellomycota	May.10	50
27	72.18934911	Mortierellomycota	May.10	0
28	37.73399015	Mortierellomycota	May.10	75
29	71.95767196	Mortierellomycota	May.10	0
30	72.10448497	Mortierellomycota	May.10	50
31	62.03155819	Mortierellomycota	May.10	75
32	76.41835224	Mortierellomycota	May.10	25
33	56.19141589	Mortierellomycota	May.10	0
34	21.1149482	Mortierellomycota	May.10	75
35	47.23865878	Mortierellomycota	May.10	0
36	57.59368836	Mortierellomycota	May.10	50
37	57.41106719	Mortierellomycota	May.10	25
38	48.61796644	Mortierellomycota	May.10	25
39	76.92307692	Mortierellomycota	May.10	50
40	75.38233843	Mortierellomycota	May.10	75
41	85.17786561	Mortierellomycota	May.10	50
42	18.61728395	Mortierellomycota	May.10	75
43	64.16584403	Mortierellomycota	May.10	25
44	81.97127291	Mortierellomycota	May.10	0
45	76.55478776	Mortierellomycota	May.10	50
46	48.25036964	Mortierellomycota	May.10	0
47	68.02955665	Mortierellomycota	May.10	75
48	59.16955017	Mortierellomycota	May.10	25
49	56.26232742	Mortierellomycota	May.24	25
50	49.03893544	Mortierellomycota	May.24	0
51	53.15893386	Mortierellomycota	May.24	75
52	62.45683276	Mortierellomycota	May.24	0
53	59.15145535	Mortierellomycota	May.24	50
54	63.33169049	Mortierellomycota	May.24	75
55	59.24826904	Mortierellomycota	May.24	25
56	61.15498519	Mortierellomycota	May.24	50
57	56.29008387	Mortierellomycota	May.24	0
58	70.06432459	Mortierellomycota	May.24	75
59	61.97530864	Mortierellomycota	May.24	25
60	70.84361125	Mortierellomycota	May.24	50
61	65.10596353	Mortierellomycota	May.24	25
62	69.48565776	Mortierellomycota	May.24	50
63	55.92300099	Mortierellomycota	May.24	75
64	62.29669788	Mortierellomycota	May.24	0
65	82.97977306	Mortierellomycota	May.24	75
66	83.34154756	Mortierellomycota	May.24	0
67	84.76331361	Mortierellomycota	May.24	50
68	56.91016782	Mortierellomycota	May.24	25
69	70.8086785	Mortierellomycota	May.24	25
70	72.28796844	Mortierellomycota	May.24	50
71	74.77788746	Mortierellomycota	May.24	0
72	70.33021193	Mortierellomycota	May.24	75
73	61.35241856	Mortierellomycota	May.24	25
74	47.60493827	Mortierellomycota	May.24	50
75	28.9733465	Mortierellomycota	May.24	0
76	41.79398719	Mortierellomycota	May.24	75
77	71.42152024	Mortierellomycota	May.24	0
78	72.4494825	Mortierellomycota	May.24	50
79	71.20315582	Mortierellomycota	May.24	75
80	80.24691358	Mortierellomycota	May.24	25
81	45.71005917	Mortierellomycota	May.24	0
82	47.18934911	Mortierellomycota	May.24	75
83	47.60965993	Mortierellomycota	May.24	0
84	38.93280632	Mortierellomycota	May.24	50
85	64.26456071	Mortierellomycota	May.24	25
86	NA	Mortierellomycota	May.24	25
87	76.43280632	Mortierellomycota	May.24	50
88	70.00988142	Mortierellomycota	May.24	75
89	47.33464956	Mortierellomycota	May.24	50
90	68.50937808	Mortierellomycota	May.24	75
91	56.86080948	Mortierellomycota	May.24	25
92	51.84079602	Mortierellomycota	May.24	0
93	25.29761905	Mortierellomycota	May.24	50
94	53.15893386	Mortierellomycota	May.24	0
95	32.03548546	Mortierellomycota	May.24	75
96	38.92451899	Mortierellomycota	May.24	25
97	48.37117473	Mortierellomycota	Jun.7	25
98	46.35597422	Mortierellomycota	Jun.7	0
99	57.60869565	Mortierellomycota	Jun.7	75
100	54.0513834	Mortierellomycota	Jun.7	0
101	46.62062161	Mortierellomycota	Jun.7	50
102	49.67901235	Mortierellomycota	Jun.7	75
103	50.5923001	Mortierellomycota	Jun.7	25
104	49.97535732	Mortierellomycota	Jun.7	50
105	55.63241107	Mortierellomycota	Jun.7	0
106	69.78807294	Mortierellomycota	Jun.7	75
107	51.74963036	Mortierellomycota	Jun.7	25
108	52.73803651	Mortierellomycota	Jun.7	50
109	55.55555556	Mortierellomycota	Jun.7	25
110	67.30769231	Mortierellomycota	Jun.7	50
111	65.2990608	Mortierellomycota	Jun.7	75
112	68.26022671	Mortierellomycota	Jun.7	0
113	66.58440276	Mortierellomycota	Jun.7	75
114	64.13418846	Mortierellomycota	Jun.7	0
115	65.0222003	Mortierellomycota	Jun.7	50
116	56.76209279	Mortierellomycota	Jun.7	25
117	76.6765286	Mortierellomycota	Jun.7	25
118	67.71349862	Mortierellomycota	Jun.7	50
119	44.74592995	Mortierellomycota	Jun.7	0
120	76.88492063	Mortierellomycota	Jun.7	75
121	60.34567901	Mortierellomycota	Jun.7	25
122	50.04930966	Mortierellomycota	Jun.7	50
123	71.88735178	Mortierellomycota	Jun.7	0
124	73.05034551	Mortierellomycota	Jun.7	75
125	60.14814815	Mortierellomycota	Jun.7	0
126	63.49678058	Mortierellomycota	Jun.7	50
127	76.90405539	Mortierellomycota	Jun.7	75
128	83.83440118	Mortierellomycota	Jun.7	25
129	61.5308642	Mortierellomycota	Jun.7	0
130	64.8715415	Mortierellomycota	Jun.7	75
131	57.19228868	Mortierellomycota	Jun.7	0
132	65.82716049	Mortierellomycota	Jun.7	50
133	56.24074988	Mortierellomycota	Jun.7	25
134	68.49382716	Mortierellomycota	Jun.7	25
135	72.224963	Mortierellomycota	Jun.7	50
136	80.61174149	Mortierellomycota	Jun.7	75
137	48.79131722	Mortierellomycota	Jun.7	50
138	57.79092702	Mortierellomycota	Jun.7	75
139	66.48595367	Mortierellomycota	Jun.7	25
140	72.80788177	Mortierellomycota	Jun.7	0
141	67.52221125	Mortierellomycota	Jun.7	50
142	61.23152709	Mortierellomycota	Jun.7	0
143	63.64084854	Mortierellomycota	Jun.7	75
144	74.96303598	Mortierellomycota	Jun.7	25
145	46.74234946	Mortierellomycota	Jun.21	25
146	17.1020207	Mortierellomycota	Jun.21	0
147	53.69458128	Mortierellomycota	Jun.21	75
148	54.1913215	Mortierellomycota	Jun.21	0
149	45.63824544	Mortierellomycota	Jun.21	50
150	43.44793224	Mortierellomycota	Jun.21	75
151	27.76679842	Mortierellomycota	Jun.21	25
152	45.83538689	Mortierellomycota	Jun.21	50
153	42.28684081	Mortierellomycota	Jun.21	0
154	38.14943097	Mortierellomycota	Jun.21	75
155	20.39408867	Mortierellomycota	Jun.21	25
156	59.31034483	Mortierellomycota	Jun.21	50
157	38.77651702	Mortierellomycota	Jun.21	25
158	69.04879251	Mortierellomycota	Jun.21	50
159	65.32019704	Mortierellomycota	Jun.21	75
160	27.90123457	Mortierellomycota	Jun.21	0
161	64.97035573	Mortierellomycota	Jun.21	75
162	NA	Mortierellomycota	Jun.21	0
163	70.9486166	Mortierellomycota	Jun.21	50
164	49.0882208	Mortierellomycota	Jun.21	25
165	68.42364532	Mortierellomycota	Jun.21	25
166	62.90083868	Mortierellomycota	Jun.21	50
167	63.36291913	Mortierellomycota	Jun.21	0
168	40.5525407	Mortierellomycota	Jun.21	75
169	51.28205128	Mortierellomycota	Jun.21	25
170	66.20621608	Mortierellomycota	Jun.21	50
171	71.81638697	Mortierellomycota	Jun.21	0
172	61.06719368	Mortierellomycota	Jun.21	75
173	68.2938856	Mortierellomycota	Jun.21	0
174	61.51948693	Mortierellomycota	Jun.21	50
175	38.2642998	Mortierellomycota	Jun.21	75
176	49.11242604	Mortierellomycota	Jun.21	25
177	55.19960572	Mortierellomycota	Jun.21	0
178	42.87128713	Mortierellomycota	Jun.21	75
179	42.83596838	Mortierellomycota	Jun.21	0
180	44.89896501	Mortierellomycota	Jun.21	50
181	59.12228797	Mortierellomycota	Jun.21	25
182	31.24383021	Mortierellomycota	Jun.21	25
183	43.33003953	Mortierellomycota	Jun.21	50
184	70.33730159	Mortierellomycota	Jun.21	75
185	61.62561576	Mortierellomycota	Jun.21	50
186	33.619818	Mortierellomycota	Jun.21	75
187	58.56790123	Mortierellomycota	Jun.21	25
188	62.82306163	Mortierellomycota	Jun.21	0
189	52.53819616	Mortierellomycota	Jun.21	50
190	55.22167488	Mortierellomycota	Jun.21	0
191	61.22348298	Mortierellomycota	Jun.21	75
192	61.02614702	Mortierellomycota	Jun.21	25
193	NA	Mortierellomycota	Jul.5	25
194	NA	Mortierellomycota	Jul.5	0
195	53.3530572	Mortierellomycota	Jul.5	75
196	76.77514793	Mortierellomycota	Jul.5	0
197	52.04736063	Mortierellomycota	Jul.5	50
198	51.72754195	Mortierellomycota	Jul.5	75
199	67.04489393	Mortierellomycota	Jul.5	25
200	46.35108481	Mortierellomycota	Jul.5	50
201	66.78183613	Mortierellomycota	Jul.5	0
202	53.33993073	Mortierellomycota	Jul.5	75
203	47.16049383	Mortierellomycota	Jul.5	25
204	32.85714286	Mortierellomycota	Jul.5	50
205	56.6187407	Mortierellomycota	Jul.5	25
206	63.33992095	Mortierellomycota	Jul.5	50
207	60.46396841	Mortierellomycota	Jul.5	75
208	62.39526861	Mortierellomycota	Jul.5	0
209	61.90004948	Mortierellomycota	Jul.5	75
210	65.21953626	Mortierellomycota	Jul.5	0
211	70	Mortierellomycota	Jul.5	50
212	45.7635468	Mortierellomycota	Jul.5	25
213	74.92610837	Mortierellomycota	Jul.5	25
214	74.4691358	Mortierellomycota	Jul.5	50
215	57.26284585	Mortierellomycota	Jul.5	0
216	64.2962963	Mortierellomycota	Jul.5	75
217	71.38628515	Mortierellomycota	Jul.5	25
218	69.32938856	Mortierellomycota	Jul.5	50
219	64.84220907	Mortierellomycota	Jul.5	0
220	58.30458354	Mortierellomycota	Jul.5	75
221	78.71485944	Mortierellomycota	Jul.5	0
222	73.00492611	Mortierellomycota	Jul.5	50
223	75.27093596	Mortierellomycota	Jul.5	75
224	67.48768473	Mortierellomycota	Jul.5	25
225	58.25529818	Mortierellomycota	Jul.5	0
226	59.27021696	Mortierellomycota	Jul.5	75
227	61.16600791	Mortierellomycota	Jul.5	0
228	63.8875185	Mortierellomycota	Jul.5	50
229	63.20197044	Mortierellomycota	Jul.5	25
230	66.14095614	Mortierellomycota	Jul.5	25
231	58.46153846	Mortierellomycota	Jul.5	50
232	76.63043478	Mortierellomycota	Jul.5	75
233	55.47877591	Mortierellomycota	Jul.5	50
234	61.18226601	Mortierellomycota	Jul.5	75
235	56.95952616	Mortierellomycota	Jul.5	25
236	62.40118577	Mortierellomycota	Jul.5	0
237	80.2962963	Mortierellomycota	Jul.5	50
238	56.72745195	Mortierellomycota	Jul.5	0
239	66.1902415	Mortierellomycota	Jul.5	75
240	70.90729783	Mortierellomycota	Jul.5	25
241	52.61083744	Mortierellomycota	Jul.19	25
242	35.27093596	Mortierellomycota	Jul.19	0
243	56.61401777	Mortierellomycota	Jul.19	75
244	54.14610069	Mortierellomycota	Jul.19	0
245	60.24630542	Mortierellomycota	Jul.19	50
246	45.45454545	Mortierellomycota	Jul.19	75
247	40.36471168	Mortierellomycota	Jul.19	25
248	41.91321499	Mortierellomycota	Jul.19	50
249	75.4679803	Mortierellomycota	Jul.19	0
250	62.78381046	Mortierellomycota	Jul.19	75
251	59.92102665	Mortierellomycota	Jul.19	25
252	66.88023657	Mortierellomycota	Jul.19	50
253	71.88735178	Mortierellomycota	Jul.19	25
254	50.61606703	Mortierellomycota	Jul.19	50
255	44.38423645	Mortierellomycota	Jul.19	75
256	53.10650888	Mortierellomycota	Jul.19	0
257	65.33333333	Mortierellomycota	Jul.19	75
258	66.92952193	Mortierellomycota	Jul.19	0
259	69.58024691	Mortierellomycota	Jul.19	50
260	65.20453425	Mortierellomycota	Jul.19	25
261	68.0137999	Mortierellomycota	Jul.19	25
262	64.18719212	Mortierellomycota	Jul.19	50
263	65.13806706	Mortierellomycota	Jul.19	0
264	48.29292429	Mortierellomycota	Jul.19	75
265	66.37037037	Mortierellomycota	Jul.19	25
266	61.01527846	Mortierellomycota	Jul.19	50
267	74.0266141	Mortierellomycota	Jul.19	0
268	59.05278737	Mortierellomycota	Jul.19	75
269	71.06949236	Mortierellomycota	Jul.19	0
270	60.89965398	Mortierellomycota	Jul.19	50
271	62.1541502	Mortierellomycota	Jul.19	75
272	76.1223483	Mortierellomycota	Jul.19	25
273	58.98321816	Mortierellomycota	Jul.19	0
274	57.03703704	Mortierellomycota	Jul.19	75
275	61.20434353	Mortierellomycota	Jul.19	0
276	62.60525012	Mortierellomycota	Jul.19	50
277	59.3951413	Mortierellomycota	Jul.19	25
278	71.25246548	Mortierellomycota	Jul.19	25
279	60.42490119	Mortierellomycota	Jul.19	50
280	65.4016757	Mortierellomycota	Jul.19	75
281	62.7895515	Mortierellomycota	Jul.19	50
282	45.38727183	Mortierellomycota	Jul.19	75
283	53.50098619	Mortierellomycota	Jul.19	25
284	69.49236077	Mortierellomycota	Jul.19	0
285	58.13609467	Mortierellomycota	Jul.19	50
286	56.86080948	Mortierellomycota	Jul.19	0
287	62.67258383	Mortierellomycota	Jul.19	75
288	56.65680473	Mortierellomycota	Jul.19	25
289	45.36945813	Mortierellomycota	Aug.1	25
290	42.81481481	Mortierellomycota	Aug.1	0
291	37.56169793	Mortierellomycota	Aug.1	75
292	43.61124815	Mortierellomycota	Aug.1	0
293	46.84106614	Mortierellomycota	Aug.1	50
294	34.28143713	Mortierellomycota	Aug.1	75
295	53.89162562	Mortierellomycota	Aug.1	25
296	49.38332511	Mortierellomycota	Aug.1	50
297	61.75889328	Mortierellomycota	Aug.1	0
298	NA	Mortierellomycota	Aug.1	75
299	57.80632411	Mortierellomycota	Aug.1	25
300	36.24691358	Mortierellomycota	Aug.1	50
301	62.11149482	Mortierellomycota	Aug.1	25
302	22.46305419	Mortierellomycota	Aug.1	50
303	47.73175542	Mortierellomycota	Aug.1	75
304	54.26739023	Mortierellomycota	Aug.1	0
305	55.94474593	Mortierellomycota	Aug.1	75
306	70.43994068	Mortierellomycota	Aug.1	0
307	64.1025641	Mortierellomycota	Aug.1	50
308	88.17151306	Mortierellomycota	Aug.1	25
309	39.62543125	Mortierellomycota	Aug.1	25
310	73.87875801	Mortierellomycota	Aug.1	50
311	54.56339418	Mortierellomycota	Aug.1	0
312	62.86982249	Mortierellomycota	Aug.1	75
313	60.8094768	Mortierellomycota	Aug.1	25
314	60.27599803	Mortierellomycota	Aug.1	50
315	60.19753086	Mortierellomycota	Aug.1	0
316	64.28219043	Mortierellomycota	Aug.1	75
317	64.31391905	Mortierellomycota	Aug.1	0
318	67.98223976	Mortierellomycota	Aug.1	50
319	56.16370809	Mortierellomycota	Aug.1	75
320	67.04489393	Mortierellomycota	Aug.1	25
321	55.85185185	Mortierellomycota	Aug.1	0
322	44.77832512	Mortierellomycota	Aug.1	75
323	42.42574257	Mortierellomycota	Aug.1	0
324	61.80384426	Mortierellomycota	Aug.1	50
325	68.64197531	Mortierellomycota	Aug.1	25
326	60.74074074	Mortierellomycota	Aug.1	25
327	74.6673238	Mortierellomycota	Aug.1	50
328	69.10167818	Mortierellomycota	Aug.1	75
329	56.4331843	Mortierellomycota	Aug.1	50
