	cultivar	date	treatment	block	Mortierellomycota	Ascomycota	Basidiomycota
A1	Drought sensitive	May.10	25	1	31.24073159	59.36727632	4.597132971
A2	Drought tolerant	May.10	0	1	35.7495069	53.30374753	4.339250493
A3	Drought tolerant	May.10	75	1	24.35897436	71.54832347	2.218934911
A4	Drought sensitive	May.10	0	1	32.14990138	61.48915187	4.536489152
A5	Drought sensitive	May.10	50	1	52.81620553	40.16798419	4.001976285
A6	Drought sensitive	May.10	75	1	27.67232767	66.68331668	3.646353646
A7	Drought tolerant	May.10	25	1	47.8046374	46.02861371	2.762703503
A8	Drought tolerant	May.10	50	1	55.44554455	37.67326733	4.059405941
A9	Drought tolerant	May.10	0	2	57.40375123	33.07008885	5.626850938
A10	Drought tolerant	May.10	75	2	59.04150198	31.22529644	6.027667984
A11	Drought sensitive	May.10	25	2	61.71682289	28.46571288	6.068080908
A12	Drought sensitive	May.10	50	2	28.28232971	16.14017769	52.56663376
A13	Drought tolerant	May.10	25	2	41.94664032	38.73517787	3.656126482
A14	Drought tolerant	May.10	50	2	48.24691358	47.65432099	2.765432099
A15	Drought sensitive	May.10	75	2	45.10869565	48.91304348	3.409090909
A16	Drought sensitive	May.10	0	2	57.55928854	34.38735178	5.780632411
A17	Drought sensitive	May.10	75	3	70.27295285	22.23325062	3.275434243
A18	Drought tolerant	May.10	0	3	57.46673238	34.00689995	5.224248398
A19	Drought sensitive	May.10	50	3	59.66303271	32.35877106	5.401387512
A20	Drought tolerant	May.10	25	3	59.73320158	33.34980237	4.298418972
A21	Drought sensitive	May.10	25	3	67.4556213	28.20512821	2.859960552
A22	Drought tolerant	May.10	50	3	62.06216083	28.51504687	4.094721263
A23	Drought sensitive	May.10	0	3	55.27613412	40.33530572	2.41617357
A24	Drought tolerant	May.10	75	3	78.12807882	19.55665025	1.280788177
A25	Drought tolerant	May.10	25	4	52.75434243	36.82382134	5.756823821
A26	Drought tolerant	May.10	50	4	NA	NA	NA
A27	Drought sensitive	May.10	0	4	72.18934911	22.4852071	3.846153846
A28	Drought sensitive	May.10	75	4	37.73399015	15.22167488	45.27093596
A29	Drought tolerant	May.10	0	4	71.95767196	21.69312169	2.91005291
A30	Drought sensitive	May.10	50	4	72.10448497	22.37555446	3.351404633
A31	Drought tolerant	May.10	75	4	62.03155819	30.76923077	5.177514793
A32	Drought sensitive	May.10	25	4	76.41835224	19.28959053	3.009373458
A33	Drought sensitive	May.10	0	5	56.19141589	34.23778984	4.686729156
A34	Drought tolerant	May.10	75	5	21.1149482	36.45781944	40.74987667
A35	Drought tolerant	May.10	0	5	47.23865878	48.61932939	2.958579882
A36	Drought tolerant	May.10	50	5	57.59368836	36.39053254	4.142011834
A37	Drought sensitive	May.10	25	5	57.41106719	35.1284585	5.434782609
A38	Drought tolerant	May.10	25	5	48.61796644	46.29812438	3.356367226
A39	Drought sensitive	May.10	50	5	76.92307692	17.35700197	3.698224852
A40	Drought sensitive	May.10	75	5	75.38233843	19.38825851	4.045387272
A41	Drought sensitive	May.10	50	6	85.17786561	11.46245059	1.482213439
A42	Drought tolerant	May.10	75	6	18.61728395	74.41975309	5.62962963
A43	Drought sensitive	May.10	25	6	64.16584403	27.73938796	3.652517275
A44	Drought sensitive	May.10	0	6	81.97127291	15.50272412	1.634472511
A45	Drought tolerant	May.10	50	6	76.55478776	18.26258638	3.15893386
A46	Drought tolerant	May.10	0	6	48.25036964	46.0818137	3.94282898
A47	Drought sensitive	May.10	75	6	68.02955665	27.63546798	2.709359606
A48	Drought tolerant	May.10	25	6	59.16955017	33.16856154	3.905091448
B1	Drought sensitive	May.24	25	1	56.26232742	37.37672584	4.191321499
B2	Drought tolerant	May.24	0	1	49.03893544	29.07836373	5.076392311
B3	Drought tolerant	May.24	75	1	53.15893386	40.76999013	3.998025666
B4	Drought sensitive	May.24	0	1	62.45683276	33.10310804	2.66403552
B5	Drought sensitive	May.24	50	1	59.15145535	33.94178589	4.637395165
B6	Drought sensitive	May.24	75	1	63.33169049	31.49334648	3.696402169
B7	Drought tolerant	May.24	25	1	59.24826904	34.71810089	3.659742829
B8	Drought tolerant	May.24	50	1	61.15498519	33.51431392	3.751233959
B9	Drought tolerant	May.24	0	2	56.29008387	37.83917119	3.157375432
B10	Drought tolerant	May.24	75	2	70.06432459	23.60217714	3.216229589
B11	Drought sensitive	May.24	25	2	61.97530864	30.07407407	5.728395062
B12	Drought sensitive	May.24	50	2	70.84361125	19.78293044	7.696102615
B13	Drought tolerant	May.24	25	2	65.10596353	30.01478561	3.893543618
B14	Drought tolerant	May.24	50	2	69.48565776	26.75568744	2.274975272
B15	Drought sensitive	May.24	75	2	55.92300099	37.95656466	2.665350444
B16	Drought sensitive	May.24	0	2	62.29669788	32.380483	3.449975357
B17	Drought sensitive	May.24	75	3	82.97977306	12.43216576	2.121361618
B18	Drought tolerant	May.24	0	3	83.34154756	13.65204534	1.626416954
