	date	precipitation	Month	day
1	1	0	May	May.1
2	2	0	May	May.2
3	3	12.6	May	May.3
4	4	4.7	May	May.4
5	5	0	May	May.5
6	6	0	May	May.6
7	7	0	May	May.7
8	8	0	May	May.8
9	9	0	May	May.9
10	10	0	May	May.10
11	11	0	May	May.11
12	12	0	May	May.12
13	13	0	May	May.13
14	14	0	May	May.14
15	15	0.3	May	May.15
16	16	0	May	May.16
17	17	0	May	May.17
18	18	0	May	May.18
19	19	5.7	May	May.19
20	20	9.1	May	May.20
21	21	0	May	May.21
22	22	2.1	May	May.22
23	23	0	May	May.23
24	24	0	May	May.24
25	25	0.3	May	May.25
26	26	7.6	May	May.26
27	27	0.2	May	May.27
28	28	1.2	May	May.28
29	29	0	May	May.29
30	30	0	May	May.30
31	31	0	May	May.31
32	32	0	June	Jun.1
33	33	0	June	Jun.2
34	34	4	June	Jun.3
35	35	21.9	June	Jun.4
36	36	0	June	Jun.5
37	37	0	June	Jun.6
38	38	0	June	Jun.7
39	39	0	June	Jun.8
40	40	0	June	Jun.9
41	41	0	June	Jun.10
42	42	0	June	Jun.11
43	43	0	June	Jun.12
44	44	3.3	June	Jun.13
45	45	9.9	June	Jun.14
46	46	0	June	Jun.15
47	47	0	June	Jun.16
48	48	0.2	June	Jun.17
49	49	21	June	Jun.18
50	50	0	June	Jun.19
51	51	0	June	Jun.20
52	52	0	June	Jun.21
53	53	0	June	Jun.22
54	54	3.5	June	Jun.23
55	55	4.2	June	Jun.24
56	56	0	June	Jun.25
57	57	0	June	Jun.26
58	58	1.2	June	Jun.27
59	59	0	June	Jun.28
60	60	0	June	Jun.29
61	61	5.8	June	Jun.30
62	62	0	July	Jul.1
63	63	0	July	Jul.2
64	64	0	July	Jul.3
65	65	0	July	Jul.4
66	66	0	July	Jul.5
67	67	0	July	Jul.6
68	68	0	July	Jul.7
69	69	0	July	Jul.8
70	70	0	July	Jul.9
71	71	0	July	Jul.10
72	72	0	July	Jul.11
73	73	0	July	Jul.12
74	74	0	July	Jul.13
75	75	0	July	Jul.14
76	76	0	July	Jul.15
77	77	0	July	Jul.16
78	78	32	July	Jul.17
79	79	0	July	Jul.18
80	80	0	July	Jul.19
81	81	0	July	Jul.20
82	82	0	July	Jul.21
83	83	3.4	July	Jul.22
84	84	0	July	Jul.23
85	85	0	July	Jul.24
86	86	28.9	July	Jul.25
87	87	26.8	July	Jul.26
88	88	0	July	Jul.27
89	89	1.4	July	Jul.28
90	90	0	July	Jul.29
91	91	0	July	Jul.30
92	92	0	July	Jul.31
93	93	3.6	August	Aug.1
94	94	0	August	Aug.2
95	95	0	August	Aug.3
96	96	1.7	August	Aug.4
97	97	0	August	Aug.5
98	98	9	August	Aug.6
99	99	0.9	August	Aug.7
100	100	5.3	August	Aug.8
101	101	3.1	August	Aug.9
102	102	0	August	Aug.10
103	103	0	August	Aug.11
104	104	0	August	Aug.12
105	105	0	August	Aug.13
106	106	8.1	August	Aug.14
107	107	0	August	Aug.15
108	108	0	August	Aug.16
109	109	2.7	August	Aug.17
110	110	0	August	Aug.18
111	111	0	August	Aug.19
112	112	0	August	Aug.20
113	113	0	August	Aug.21
114	114	0.4	August	Aug.22
115	115	0	August	Aug.23
116	116	0	August	Aug.24
117	117	0	August	Aug.25
118	118	15.8	August	Aug.26
119	119	3.1	August	Aug.27
120	120	5.8	August	Aug.28
121	121	1.4	August	Aug.29
122	122	0	August	Aug.30
123	123	0	August	Aug.31
