	cultivar	date	treatment
A1	Drought sensitive	May.10	25
A2	Drought tolerant	May.10	0
A3	Drought tolerant	May.10	75
A4	Drought sensitive	May.10	0
A5	Drought sensitive	May.10	50
A6	Drought sensitive	May.10	75
A7	Drought tolerant	May.10	25
A8	Drought tolerant	May.10	50
A9	Drought tolerant	May.10	0
A10	Drought tolerant	May.10	75
A11	Drought sensitive	May.10	25
A12	Drought sensitive	May.10	50
A13	Drought tolerant	May.10	25
A14	Drought tolerant	May.10	50
A15	Drought sensitive	May.10	75
A16	Drought sensitive	May.10	0
A17	Drought sensitive	May.10	75
A18	Drought tolerant	May.10	0
A19	Drought sensitive	May.10	50
A20	Drought tolerant	May.10	25
A21	Drought sensitive	May.10	25
A22	Drought tolerant	May.10	50
A23	Drought sensitive	May.10	0
A24	Drought tolerant	May.10	75
A25	Drought tolerant	May.10	25
A26	Drought tolerant	May.10	50
A27	Drought sensitive	May.10	0
A28	Drought sensitive	May.10	75
A29	Drought tolerant	May.10	0
A30	Drought sensitive	May.10	50
A31	Drought tolerant	May.10	75
A32	Drought sensitive	May.10	25
A33	Drought sensitive	May.10	0
A34	Drought tolerant	May.10	75
A35	Drought tolerant	May.10	0
A36	Drought tolerant	May.10	50
A38	Drought tolerant	May.10	25
A39	Drought sensitive	May.10	50
A40	Drought sensitive	May.10	75
A41	Drought sensitive	May.10	50
A42	Drought tolerant	May.10	75
A43	Drought sensitive	May.10	25
A44	Drought sensitive	May.10	0
A45	Drought tolerant	May.10	50
A46	Drought tolerant	May.10	0
A47	Drought sensitive	May.10	75
A48	Drought tolerant	May.10	25
B1	Drought sensitive	May.24	25
B2	Drought tolerant	May.24	0
B3	Drought tolerant	May.24	75
B4	Drought sensitive	May.24	0
B5	Drought sensitive	May.24	50
B6	Drought sensitive	May.24	75
B7	Drought tolerant	May.24	25
B8	Drought tolerant	May.24	50
B9	Drought tolerant	May.24	0
B10	Drought tolerant	May.24	75
B11	Drought sensitive	May.24	25
B12	Drought sensitive	May.24	50
B13	Drought tolerant	May.24	25
B14	Drought tolerant	May.24	50
B15	Drought sensitive	May.24	75
B16	Drought sensitive	May.24	0
B17	Drought sensitive	May.24	75
B18	Drought tolerant	May.24	0
B19	Drought sensitive	May.24	50
B20	Drought tolerant	May.24	25
B21	Drought sensitive	May.24	25
B22	Drought tolerant	May.24	50
B23	Drought sensitive	May.24	0
B24	Drought tolerant	May.24	75
B25	Drought tolerant	May.24	25
B26	Drought tolerant	May.24	50
B27	Drought sensitive	May.24	0
B28	Drought sensitive	May.24	75
B29	Drought tolerant	May.24	0
B30	Drought sensitive	May.24	50
B31	Drought tolerant	May.24	75
B32	Drought sensitive	May.24	25
B33	Drought sensitive	May.24	0
B34	Drought tolerant	May.24	75
B35	Drought tolerant	May.24	0
B36	Drought tolerant	May.24	50
B37	Drought sensitive	May.24	25
B38	Drought tolerant	May.24	25
B39	Drought sensitive	May.24	50
B40	Drought sensitive	May.24	75
B41	Drought sensitive	May.24	50
B42	Drought tolerant	May.24	75
B43	Drought sensitive	May.24	25
B44	Drought sensitive	May.24	0
B45	Drought tolerant	May.24	50
B46	Drought tolerant	May.24	0
B47	Drought sensitive	May.24	75
B48	Drought tolerant	May.24	25
C1	Drought sensitive	Jun.7	25
C2	Drought tolerant	Jun.7	0
C3	Drought tolerant	Jun.7	75
C4	Drought sensitive	Jun.7	0
C5	Drought sensitive	Jun.7	50
C6	Drought sensitive	Jun.7	75
C7	Drought tolerant	Jun.7	25
C8	Drought tolerant	Jun.7	50
C9	Drought tolerant	Jun.7	0
C10	Drought tolerant	Jun.7	75
C11	Drought sensitive	Jun.7	25
C12	Drought sensitive	Jun.7	50
C13	Drought tolerant	Jun.7	25
C14	Drought tolerant	Jun.7	50
C15	Drought sensitive	Jun.7	75
C16	Drought sensitive	Jun.7	0
C17	Drought sensitive	Jun.7	75
C18	Drought tolerant	Jun.7	0
C19	Drought sensitive	Jun.7	50
C20	Drought tolerant	Jun.7	25
C21	Drought sensitive	Jun.7	25
C22	Drought tolerant	Jun.7	50
C23	Drought sensitive	Jun.7	0
C24	Drought tolerant	Jun.7	75
C25	Drought tolerant	Jun.7	25
C26	Drought tolerant	Jun.7	50
C27	Drought sensitive	Jun.7	0
C28	Drought sensitive	Jun.7	75
C29	Drought tolerant	Jun.7	0
C30	Drought sensitive	Jun.7	50
C31	Drought tolerant	Jun.7	75
C32	Drought sensitive	Jun.7	25
C33	Drought sensitive	Jun.7	0
C34	Drought tolerant	Jun.7	75
C35	Drought tolerant	Jun.7	0
C36	Drought tolerant	Jun.7	50
C37	Drought sensitive	Jun.7	25
C38	Drought tolerant	Jun.7	25
C39	Drought sensitive	Jun.7	50
C40	Drought sensitive	Jun.7	75
C41	Drought sensitive	Jun.7	50
C42	Drought tolerant	Jun.7	75
C43	Drought sensitive	Jun.7	25
C44	Drought sensitive	Jun.7	0
C45	Drought tolerant	Jun.7	50
C46	Drought tolerant	Jun.7	0
C47	Drought sensitive	Jun.7	75
C48	Drought tolerant	Jun.7	25
D1	Drought sensitive	Jun.21	25
D2	Drought tolerant	Jun.21	0
D3	Drought tolerant	Jun.21	75
D4	Drought sensitive	Jun.21	0
D5	Drought sensitive	Jun.21	50
D6	Drought sensitive	Jun.21	75
D7	Drought tolerant	Jun.21	25
D8	Drought tolerant	Jun.21	50
D9	Drought tolerant	Jun.21	0
D10	Drought tolerant	Jun.21	75
D11	Drought sensitive	Jun.21	25
D12	Drought sensitive	Jun.21	50
D13	Drought tolerant	Jun.21	25
D14	Drought tolerant	Jun.21	50
D15	Drought sensitive	Jun.21	75
D16	Drought sensitive	Jun.21	0
D17	Drought sensitive	Jun.21	75
D18	Drought tolerant	Jun.21	0
D19	Drought sensitive	Jun.21	50
D20	Drought tolerant	Jun.21	25
D21	Drought sensitive	Jun.21	25
D22	Drought tolerant	Jun.21	50
D23	Drought sensitive	Jun.21	0
D24	Drought tolerant	Jun.21	75
D25	Drought tolerant	Jun.21	25
D26	Drought tolerant	Jun.21	50
D27	Drought sensitive	Jun.21	0
D28	Drought sensitive	Jun.21	75
D29	Drought tolerant	Jun.21	0
