	date	P_2006	P_2008	P_2009	P_2010	P_2011	P_2012	P_2013	P_2014	P_2015	P_2016	P_2017	Month	day
1	1	0	0	11.4	2.6	0	2.5	0	7.3	0	8.3	38.1	May	May.1
2	2	17.2	0	0.4	0	0.2	0.9	0	0	0	1.3	0	May	May.2
3	3	3.2	4.8	0	2.6	21.9	0	0	0.5	0	0	0	May	May.3
4	4	0.6	2.6	0	0.4	6	1.1	0	18.4	0.8	0	0	May	May.4
5	5	0	0	0	0.6	8.2	0	0	0	0.2	0	19.9	May	May.5
6	6	5.4	0	0.2	6.6	0	0	0	0	0	0	8.9	May	May.6
7	7	0	6.6	10.4	0	0	0	0	0	0	1.2	6.3	May	May.7
8	8	0	0.6	1	11.6	0	15.5	0.2	0	0	8	0.2	May	May.8
9	9	0	0	4.8	2.2	0	0.6	0	3.1	8.5	0	0	May	May.9
10	10	0	0	3.4	0	0	0	0	4.2	0.9	0	0	May	May.10
11	11	12.8	0	0	0	0	0.7	14.2	0	17.9	0	0	May	May.11
12	12	5.4	0	0	0	0	0	0	0	9.1	0	0	May	May.12
13	13	12.2	0	0	0	0.6	3	0	0.3	0	4	1.2	May	May.13
14	14	1.4	0	5.4	6	25.7	0	0	0	0	5.1	3.5	May	May.14
15	15	4.4	4.6	0	2.2	11.8	0.3	1	0	0	0.4	0	May	May.15
16	16	13.4	0	14.4	0.2	13.7	0	0	28	0	0	0	May	May.16
17	17	2	0.9	0	0	0.4	0	0	10.7	0	0	0	May	May.17
18	18	4.4	3.6	0	0	0.2	0	0	0	9	0	0	May	May.18
19	19	41.6	8.6	0	0	0.7	0	3.6	0	0	0	0.2	May	May.19
20	20	3.4	0.9	0.8	0	0	0	3.5	0	0	0	0	May	May.20
21	21	7	0	0	0	1.4	0	4.1	0	0	0	2.3	May	May.21
22	22	0.2	0	0	0	5.1	21.7	5.9	0.2	0	0	6.1	May	May.22
23	23	0	0	0	0	2.1	0	5.4	0	0	0	0	May	May.23
24	24	0	0.2	0	0	0.2	0	6.1	0	0	0	0	May	May.24
25	25	0	0	0	0	0	5	13.2	3.8	23.3	0	9.6	May	May.25
26	26	0.8	0	0	0	4.4	0	12.7	3	0	0	1.2	May	May.26
27	27	0.2	0	5.4	0	11.1	0	0	3.9	0	1	0	May	May.27
28	28	0	0	9.8	0	6.2	0	0	0.2	4.7	0	0	May	May.28
29	29	0	0	8.4	0	6.1	25.8	19	0	0.2	0	6.4	May	May.29
