	treatment	protein	cultivar	block
A1	25	NA	Drought sensitive	1
A2	0	15.89	Drought tolerant	1
A3	75	16.83	Drought tolerant	1
A4	0	15.87	Drought sensitive	1
A5	50	16.28	Drought sensitive	1
A6	75	16.37	Drought sensitive	1
A7	25	16.85	Drought tolerant	1
A8	50	16.52	Drought tolerant	1
A9	0	15.62	Drought tolerant	2
A10	75	15.37	Drought tolerant	2
A11	25	14.86	Drought sensitive	2
A12	50	15.7	Drought sensitive	2
A13	25	15.99	Drought tolerant	2
A14	50	16.51	Drought tolerant	2
A15	75	16.73	Drought sensitive	2
A16	0	14.94	Drought sensitive	2
A17	75	15.47	Drought sensitive	3
A18	0	15.86	Drought tolerant	3
A19	50	15.95	Drought sensitive	3
A20	25	16.27	Drought tolerant	3
A21	25	15.78	Drought sensitive	3
A22	50	15.96	Drought tolerant	3
A23	0	16.23	Drought sensitive	3
A24	75	16.52	Drought tolerant	3
A25	25	NA	Drought tolerant	4
A26	50	16.75	Drought tolerant	4
A27	0	15.04	Drought sensitive	4
A28	75	15.57	Drought sensitive	4
A29	0	16.78	Drought tolerant	4
A30	50	16.83	Drought sensitive	4
A31	75	16.82	Drought tolerant	4
A32	25	15.37	Drought sensitive	4
A33	0	14.68	Drought sensitive	5
A34	75	16.46	Drought tolerant	5
A35	0	16.31	Drought tolerant	5
A36	50	16.28	Drought tolerant	5
A37	25	16.42	Drought sensitive	5
A38	25	17.47	Drought tolerant	5
A39	50	16.94	Drought sensitive	5
A40	75	16.53	Drought sensitive	5
A41	50	NA	Drought sensitive	6
A42	75	16.1	Drought tolerant	6
A43	25	15.85	Drought sensitive	6
A44	0	15.42	Drought sensitive	6
A45	50	15.78	Drought tolerant	6
A46	0	16.22	Drought tolerant	6
A47	75	15.44	Drought sensitive	6
A48	25	16.68	Drought tolerant	6
