	cultivar	date	treatment	moisture	block
A1	Drought sensitive	May.10	25	0.148	1
A2	Drought tolerant	May.10	0	0.157	1
A3	Drought tolerant	May.10	75	0.162	1
A4	Drought sensitive	May.10	0	0.171	1
A5	Drought sensitive	May.10	50	0.185	1
A6	Drought sensitive	May.10	75	0.187	1
A7	Drought tolerant	May.10	25	0.182	1
A8	Drought tolerant	May.10	50	0.164	1
A9	Drought tolerant	May.10	0	0.174	2
A10	Drought tolerant	May.10	75	0.177	2
A11	Drought sensitive	May.10	25	0.162	2
A12	Drought sensitive	May.10	50	0.162	2
A13	Drought tolerant	May.10	25	0.181	2
A14	Drought tolerant	May.10	50	0.171	2
A15	Drought sensitive	May.10	75	0.169	2
A16	Drought sensitive	May.10	0	0.164	2
A17	Drought sensitive	May.10	75	0.172	3
A18	Drought tolerant	May.10	0	0.149	3
A19	Drought sensitive	May.10	50	0.157	3
A20	Drought tolerant	May.10	25	0.153	3
A21	Drought sensitive	May.10	25	0.167	3
A22	Drought tolerant	May.10	50	0.159	3
A23	Drought sensitive	May.10	0	0.15	3
A24	Drought tolerant	May.10	75	0.166	3
A25	Drought tolerant	May.10	25	0.154	4
A26	Drought tolerant	May.10	50	0.16	4
A27	Drought sensitive	May.10	0	0.176	4
A28	Drought sensitive	May.10	75	0.142	4
A29	Drought tolerant	May.10	0	0.112	4
A30	Drought sensitive	May.10	50	0.169	4
A31	Drought tolerant	May.10	75	0.122	4
A32	Drought sensitive	May.10	25	0.151	4
A33	Drought sensitive	May.10	0	0.22	5
A34	Drought tolerant	May.10	75	0.195	5
A35	Drought tolerant	May.10	0	0.184	5
A36	Drought tolerant	May.10	50	0.188	5
A37	Drought sensitive	May.10	25	0.1659	5
A38	Drought tolerant	May.10	25	0.212	5
A39	Drought sensitive	May.10	50	0.217	5
A40	Drought sensitive	May.10	75	0.2	5
A41	Drought sensitive	May.10	50	0.202	6
A42	Drought tolerant	May.10	75	0.21	6
A43	Drought sensitive	May.10	25	0.183	6
A44	Drought sensitive	May.10	0	0.146	6
A45	Drought tolerant	May.10	50	0.182	6
A46	Drought tolerant	May.10	0	0.208	6
A47	Drought sensitive	May.10	75	0.188	6
A48	Drought tolerant	May.10	25	0.231	6
B1	Drought sensitive	May.24	25	0.179	1
B2	Drought tolerant	May.24	0	0.167	1
B3	Drought tolerant	May.24	75	0.177	1
B4	Drought sensitive	May.24	0	0.174	1
B5	Drought sensitive	May.24	50	0.1835	1
B6	Drought sensitive	May.24	75	0.178	1
B7	Drought tolerant	May.24	25	0.184	1
B8	Drought tolerant	May.24	50	0.195	1
B9	Drought tolerant	May.24	0	0.186	2
B10	Drought tolerant	May.24	75	0.194	2
B11	Drought sensitive	May.24	25	0.173	2
B12	Drought sensitive	May.24	50	0.189	2
B13	Drought tolerant	May.24	25	0.194	2
B14	Drought tolerant	May.24	50	0.188	2
B15	Drought sensitive	May.24	75	0.18645	2
B16	Drought sensitive	May.24	0	0.183	2
B17	Drought sensitive	May.24	75	0.165	3
B18	Drought tolerant	May.24	0	0.167	3
B19	Drought sensitive	May.24	50	0.175	3
B20	Drought tolerant	May.24	25	0.18	3
B21	Drought sensitive	May.24	25	0.178	3
B22	Drought tolerant	May.24	50	0.182	3
B23	Drought sensitive	May.24	0	0.162	3
B24	Drought tolerant	May.24	75	0.176	3
B25	Drought tolerant	May.24	25	0.16	4
B26	Drought tolerant	May.24	50	0.176	4
B27	Drought sensitive	May.24	0	0.187	4
B28	Drought sensitive	May.24	75	0.174	4
B29	Drought tolerant	May.24	0	0.173	4
B30	Drought sensitive	May.24	50	0.166	4
B31	Drought tolerant	May.24	75	0.149	4
B32	Drought sensitive	May.24	25	0.186	4
B33	Drought sensitive	May.24	0	0.201	5
B34	Drought tolerant	May.24	75	0.176	5
B35	Drought tolerant	May.24	0	0.175	5
B36	Drought tolerant	May.24	50	0.172	5
B37	Drought sensitive	May.24	25	0.168	5
B38	Drought tolerant	May.24	25	0.184	5
B39	Drought sensitive	May.24	50	0.172	5
B40	Drought sensitive	May.24	75	0.176	5
B41	Drought sensitive	May.24	50	0.207	6
B42	Drought tolerant	May.24	75	0.185	6
B43	Drought sensitive	May.24	25	0.194	6
B44	Drought sensitive	May.24	0	0.186	6
B45	Drought tolerant	May.24	50	0.209	6
B46	Drought tolerant	May.24	0	0.193	6
B47	Drought sensitive	May.24	75	0.203	6
B48	Drought tolerant	May.24	25	0.206	6
C1	Drought sensitive	Jun.7	25	0.197	1
C2	Drought tolerant	Jun.7	0	0.198	1
C3	Drought tolerant	Jun.7	75	0.193	1
C4	Drought sensitive	Jun.7	0	0.193	1
C5	Drought sensitive	Jun.7	50	0.198	1
C6	Drought sensitive	Jun.7	75	0.197	1
