	treatment	yields	cultivar	block
A1	25	NA	Drought sensitive	1
A2	0	NA	Drought tolerant	1
A3	75	17.14	Drought tolerant	1
A4	0	168.232	Drought sensitive	1
A5	50	45.485	Drought sensitive	1
A6	75	77.251	Drought sensitive	1
A7	25	NA	Drought tolerant	1
A8	50	NA	Drought tolerant	1
A9	0	NA	Drought tolerant	2
A10	75	1.332	Drought tolerant	2
A11	25	136.717	Drought sensitive	2
A12	50	155.117	Drought sensitive	2
A13	25	19.102	Drought tolerant	2
A14	50	29.099	Drought tolerant	2
A15	75	1.535	Drought sensitive	2
A16	0	0.883	Drought sensitive	2
A17	75	0.346	Drought sensitive	3
A18	0	2.242	Drought tolerant	3
A19	50	109.317	Drought sensitive	3
A20	25	89.317	Drought tolerant	3
A21	25	80.317	Drought sensitive	3
A22	50	33.323	Drought tolerant	3
A23	0	142.917	Drought sensitive	3
A24	75	0.477	Drought tolerant	3
A25	25	4.097	Drought tolerant	4
A26	50	16.22	Drought tolerant	4
A27	0	NA	Drought sensitive	4
A28	75	NA	Drought sensitive	4
A29	0	NA	Drought tolerant	4
A30	50	201.134	Drought sensitive	4
A31	75	41.835	Drought tolerant	4
A32	25	NA	Drought sensitive	4
A33	0	19.979	Drought sensitive	5
A34	75	167.817	Drought tolerant	5
A35	0	135.917	Drought tolerant	5
A36	50	28.187	Drought tolerant	5
A37	25	141.917	Drought sensitive	5
A38	25	180.517	Drought tolerant	5
A39	50	85.917	Drought sensitive	5
A40	75	NA	Drought sensitive	5
A41	50	NA	Drought sensitive	6
A42	75	112.317	Drought tolerant	6
A43	25	83.499	Drought sensitive	6
A44	0	NA	Drought sensitive	6
A45	50	86.334	Drought tolerant	6
A46	0	199.517	Drought tolerant	6
A47	75	NA	Drought sensitive	6
A48	25	6.833	Drought tolerant	6
